Name,Distance,Rating,Votes,Address,Website
Patanjali Arogya Kendra Next to Welcome Tours Travels Opposite Juhu Church Bus Depot Jvpd Scheme juhu,0.76 KM,3.1,9 Votes,"Parera Apartment ,Ground Floor, Opp Juhu Church Bus Depo ,, Jvpd Scheme-juhu, Mumbai - 400049, Next to Welcome Tours & Travels, Opposite Juhu Church Bus Depot",https://www.justdial.com/Mumbai/Patanjali-Arogya-Kendra-Next-to-Welcome-Tours-Travels-Opposite-Juhu-Church-Bus-Depot-Jvpd-Scheme-juhu/022PXX22-XX22-151127213625-Y5Z1_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEp1aHU=
Nut Pulse Super Shoppe Opposite Juhu Post Office Juhu,1.25 KM,4.2,123 Votes,"Shop No 6 & 7, A B Nair Road, Juhu, Mumbai - 400049, Opposite Juhu Post Office",https://www.justdial.com/Mumbai/Nut-Pulse-Super-Shoppe-Opposite-Juhu-Post-Office-Juhu/022PXX22-XX22-000924725427-S4H8_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEp1aHU=
Roman General Stores J V P D Scheme Near Gagandeep Bus Stop Juhu,1.53 KM,3.8,33 Votes,"Shop No 4, Om Satya Deep Society, Gulmohar Cross Road No.7, Juhu, Mumbai - 400049, J V P D Scheme,Near Gagandeep Bus Stop",https://www.justdial.com/Mumbai/Roman-General-Stores-J-V-P-D-Scheme-Near-Gagandeep-Bus-Stop-Juhu/022PXX22-XX22-131231162447-K6A6_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEp1aHU=
Amardeep Grain And Provision Stores Juhu Koliwada,1.73 KM,4.2,6 Votes,"Juhu Ruturaj Co Operative Housing Society, Juhu Road, Juhu Koliwada, Mumbai - 400049",https://www.justdial.com/Mumbai/Amardeep-Grain-And-Provision-Stores-Juhu-Koliwada/022PXX22-XX22-171223202417-K7T3_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEp1aHU=
Malani Stores Ganguli Marg Juhu,1.03 KM,3.0,1 Votes,"Coelhochawl, Behind Royal Hotel, Juhu, Juhu Road, Juhu, Mumbai - 400049, Ganguli Marg",https://www.justdial.com/Mumbai/Malani-Stores-Ganguli-Marg-Juhu/022PXX22-XX22-170109131513-T6U7_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEp1aHU=
Juhu General Stores Near Juhu Church Juhu,1.12 KM,3.5,12 Votes,"Shop No.5, Kesar House, Juhu Church Road, Juhu, Mumbai - 400049, Near Juhu Church",https://www.justdial.com/Mumbai/Juhu-General-Stores-Near-Juhu-Church-Juhu/022PXX22-XX22-000375050938-E8X0_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEp1aHU=
Dhiraj Stores Opposite Hare Rama Krishna Temple Juhu,1.4 KM,4.0,26 Votes,"Near Mukteshwar Temple, Juhu-church Road, Juhu, Mumbai - 400049, Opposite Hare Rama Krishna Temple",https://www.justdial.com/Mumbai/Dhiraj-Stores-Opposite-Hare-Rama-Krishna-Temple-Juhu/022P1233586316Y7L7L3_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEp1aHU=
Neeta Store JVPD Scheme Juhu,,4.7,3 Votes,"Opp Sian Rest, JVPD Scheme-Juhu, Mumbai - 400049",https://www.justdial.com/Mumbai/Neeta-Store-JVPD-Scheme-Juhu/022PXX22-XX22-180730193126-D7L1_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEp1aHU=
Shah Leeladhar Devji Company Near Juhu Church Market Juhu,1.06 KM,3.9,14 Votes,"G/50, Kesar House, Juhu Church Road, Juhu, Mumbai - 400049, Near Juhu Church & Market",https://www.justdial.com/Mumbai/Shah-Leeladhar-Devji-Company-Near-Juhu-Church-Market-Juhu/022POCE0386_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEp1aHU=
Central Store Gavthan No 2 Juhu,1.15 KM,4.4,27 Votes,"G/52, Juhu Church Road, Juhu, Mumbai - 400049, Gavthan No 2",https://www.justdial.com/Mumbai/Central-Store-Gavthan-No-2-Juhu/022P812721_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEp1aHU=
New Anand General Stores Opposite New India Quarters Juhu,0.91 KM,3.0,1 Votes,"Poonam Pearl Biulding, Khan Garage, Andher, C D Barfiwala Road, C D Barfiwala Roadjuhu Road, Juhu, Mumbai - 400049, Opposite New India Quarters",https://www.justdial.com/Mumbai/New-Anand-General-Stores-Opposite-New-India-Quarters-Juhu/022PXX22-XX22-170901144857-B5C8_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEp1aHU=
Mahavir General Store Juhu,,3.6,5 Votes,"Juhu Koliwada, Azad Road, Juhu, Mumbai - 400049",https://www.justdial.com/Mumbai/Mahavir-General-Store-Juhu/022P1225780641N6I9R6_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEp1aHU=
Jill MIIL Super Store Opp st Josef School Juhu,0.78 KM,2.0,2 Votes,"Shop No.33, Janki Kutir, Juhu Church Road, Juhu, Mumbai - 400049, Opp- st Josef School",https://www.justdial.com/Mumbai/Jill-MIIL-Super-Store-Opp-st-Josef-School-Juhu/022PXX22-XX22-150603154829-R7K7_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEp1aHU=
Balaji Medical General Store Near Juhu Post Office Juhu,1.24 KM,3.9,32 Votes,"Shop No.05, Sutari House, A B Nair Road, Juhu, Mumbai - 400049, Near Juhu Post Office",https://www.justdial.com/Mumbai/Balaji-Medical-General-Store-Near-Juhu-Post-Office-Juhu/022P1233956336Y6X2Q9_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEp1aHU=
Krishna Stores Opposite Juhu Bus Stop Juhu,1.16 KM,3.4,5 Votes,"G O House, Juhu Church Road, Juhu, Mumbai - 400049, Opposite Juhu Bus Stop",https://www.justdial.com/Mumbai/Krishna-Stores-Opposite-Juhu-Bus-Stop-Juhu/022P1233953905P3U8I8_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEp1aHU=
Shah Jayantilal Medical Stores Near Hare Krishna Temple Juhu,1.2 KM,3.1,4 Votes,"Gosar Niwas, Juhu Church Road, Juhu, Mumbai - 400049, Near Hare Krishna Temple",https://www.justdial.com/Mumbai/Shah-Jayantilal-Medical-Stores-Near-Hare-Krishna-Temple-Juhu/022P1004530_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEp1aHU=
