Name,Distance,Rating,Votes,Address,Website
Salunke Bandhu Near Vegetable Market Chira Bazar kalbadevi,0.21 KM,4.1,7 Votes,"Shop No 509, Sona Chambers, J S S Road, Chira Bazar-kalbadevi, Mumbai - 400002, Near Vegetable Market",https://www.justdial.com/Mumbai/Salunke-Bandhu-Near-Vegetable-Market-Chira-Bazar-kalbadevi/022PXX22-XX22-120727081030-S5E5_BZDET?xid=TXVtYmFpIEdyb2NlcnkgU3RvcmVzIEthbGJhZGV2aQ==
All In One General Store Maheshwari Mata Mandir Sham Bhavan Navi Wadi Chira Bazar kalbadevi,0.1 KM,5.0,1 Votes,"Shop No 1, Building No 20, Dadi Seth Agyari Lane, Chira Bazar-kalbadevi, Mumbai - 400002, Maheshwari Mata Mandir, Sham Bhavan Navi Wadi",https://www.justdial.com/Mumbai/All-In-One-General-Store-Maheshwari-Mata-Mandir-Sham-Bhavan-Navi-Wadi-Chira-Bazar-kalbadevi/022PXX22-XX22-140801120847-J1A9_BZDET?xid=TXVtYmFpIEdyb2NlcnkgU3RvcmVzIEthbGJhZGV2aQ==
Shah Stores Near Balaji Temple Sitaram Poddar Marg Kalbadevi,,4.0,7 Votes,"59, 1st Fanaswadi Rele Building, Palekar Marg, Kalbadevi, Mumbai - 400002, Near Balaji Temple, Sitaram Poddar Marg",https://www.justdial.com/Mumbai/Shah-Stores-Near-Balaji-Temple-Sitaram-Poddar-Marg-Kalbadevi/022P8903133_BZDET?xid=TXVtYmFpIEdyb2NlcnkgU3RvcmVzIEthbGJhZGV2aQ==
Jay Bajrang Stores Thakurdwar Thakurdwar Kalbadevi,0.45 KM,,0 Votes,"Shop No 207, Barfiwala Building, Babasaheb Jaykar Road, Thakurdwar-Kalbadevi, Mumbai - 400002, Thakurdwar",https://www.justdial.com/Mumbai/Jay-Bajrang-Stores-Thakurdwar-Thakurdwar-Kalbadevi/022PXX22-XX22-190530205110-T8K3_BZDET?xid=TXVtYmFpIEdyb2NlcnkgU3RvcmVzIEthbGJhZGV2aQ==
Bhagwati Store Kalbadevi,0.06 KM,,0 Votes,"No 45 Narayan Nivas, Dr Adisethi Agyari Road, Kalbadevi, Mumbai - 400002",https://www.justdial.com/Mumbai/Bhagwati-Store-Kalbadevi/022PXX22-XX22-140718144307-W5F7_BZDET?xid=TXVtYmFpIEdyb2NlcnkgU3RvcmVzIEthbGJhZGV2aQ==
Morarji Ratanshi Co Near Acharya Mahapragya School and Santosh Store Kalbadevi,,5.0,1 Votes,"5/14, Dadiseth Agiary Lane, Kalbadevi, Mumbai - 400002, Near Acharya Mahapragya School and Santosh Store",https://www.justdial.com/Mumbai/Morarji-Ratanshi-Co-Near-Acharya-Mahapragya-School-and-Santosh-Store-Kalbadevi/022PXX22-XX22-120827130530-B2T2_BZDET?xid=TXVtYmFpIEdyb2NlcnkgU3RvcmVzIEthbGJhZGV2aQ==
KGN store Opp bank of Baroda Chira Bazar Kalbadevi,0.12 KM,,0 Votes,"Shop no 345, Chira bazar, Chira Bazar-Kalbadevi, Mumbai - 400002, Opp bank of Baroda",https://www.justdial.com/Mumbai/KGN-store-Opp-bank-of-Baroda-Chira-Bazar-Kalbadevi/022PXX22-XX22-160525104750-F8X2_BZDET?xid=TXVtYmFpIEdyb2NlcnkgU3RvcmVzIEthbGJhZGV2aQ==
Jay Mahadev Provision Stores Morarji Velji Goshala Kalbadevi,0.12 KM,,0 Votes,"21, Building No 39/41, Kolbhat Lane, Kalbadevi, Mumbai - 400002, Morarji Velji Goshala",https://www.justdial.com/Mumbai/Jay-Mahadev-Provision-Stores-Morarji-Velji-Goshala-Kalbadevi/022PXX22-XX22-190529125023-R8Q6_BZDET?xid=TXVtYmFpIEdyb2NlcnkgU3RvcmVzIEthbGJhZGV2aQ==
Siddhivinayak Stores In Front Of City Kitchen Kalbadevi,0.19 KM,,0 Votes,"Lakhpati Building, Shrink ant Palekar Marg, Kalbadevi, Mumbai - 400002, In Front Of City Kitchen",https://www.justdial.com/Mumbai/Siddhivinayak-Stores-In-Front-Of-City-Kitchen-Kalbadevi/022PXX22-XX22-140725132645-L1L6_BZDET?xid=TXVtYmFpIEdyb2NlcnkgU3RvcmVzIEthbGJhZGV2aQ==
S v setti S p road Fanas Wadi Kalbadevi,0.23 KM,,0 Votes,"Shop no.106, Jagannath chawl, Fanas Wadi-Kalbadevi, Mumbai - 400002, S.p road",https://www.justdial.com/Mumbai/S-v-setti-S-p-road-Fanas-Wadi-Kalbadevi/022PXX22-XX22-140801124106-U3A7_BZDET?xid=TXVtYmFpIEdyb2NlcnkgU3RvcmVzIEthbGJhZGV2aQ==
Win Supermarket Gazdar Street Corner Chira Bazar Kalbadevi,,,0 Votes,"412/414 Parekh Niwas, Jss Road, Chira Bazar-Kalbadevi, Mumbai - 400002, Gazdar Street Corner",https://www.justdial.com/Mumbai/Win-Supermarket-Gazdar-Street-Corner-Chira-Bazar-Kalbadevi/022PXX22-XX22-201112115520-I9H5_BZDET?xid=TXVtYmFpIEdyb2NlcnkgU3RvcmVzIEthbGJhZGV2aQ==
Rahul Store Kalbadevi,0.25 KM,5.0,11 Votes,"91/Hh Koliwadi, Kalbadevi, Mumbai - 400002",https://www.justdial.com/Mumbai/Rahul-Store-Kalbadevi/022PXX22-XX22-180328034755-T1P5_BZDET?xid=TXVtYmFpIEdyb2NlcnkgU3RvcmVzIEthbGJhZGV2aQ==
Khushi grain store Chira bazar Kalbadevi,0.26 KM,,0 Votes,"91,khushi bldg, Velankar Road, Kalbadevi, Mumbai - 400002, Chira bazar",https://www.justdial.com/Mumbai/Khushi-grain-store-Chira-bazar-Kalbadevi/022PXX22-XX22-121227115428-G8P8_BZDET?xid=TXVtYmFpIEdyb2NlcnkgU3RvcmVzIEthbGJhZGV2aQ==
