Name,Distance,Rating,Votes,Address,Website
King Of Rice Near Bhavna Baug Kamathipura Mumbai Central,0.16 KM,2.7,2 Votes,"101-A, Shop No. 2, S P Road, 6th, Kamathipura-Mumbai Central, Mumbai - 400008, Near Bhavna Baug",https://www.justdial.com/Mumbai/King-Of-Rice-Near-Bhavna-Baug-Kamathipura-Mumbai-Central/022PCLR20081108IROM712599188_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEthbWF0aGlwdXJhIE11bWJhaSBDZW50cmFs
Galfar General Stores Kamathipura Mumbai Central,0.45 KM,5.0,1 Votes,"Sonawala Appartment Biulding,Shop No.14,13/15, M T Ansari Road, Kamathipura-Mumbai Central, Mumbai - 400008",https://www.justdial.com/Mumbai/Galfar-General-Stores-Kamathipura-Mumbai-Central/022PXX22-XX22-180411233116-I9Y8_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEthbWF0aGlwdXJhIE11bWJhaSBDZW50cmFs
India Kirana Super Market Kamathipura Mumbai Central,100 mts.,,0 Votes,"Superme Heights, 2nd Lane, Mumbai Central, Mumbai - 400008, Kamathipura",https://www.justdial.com/Mumbai/India-Kirana-Super-Market-Kamathipura-Mumbai-Central/022PXX22-XX22-180212180022-Q5E3_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEthbWF0aGlwdXJhIE11bWJhaSBDZW50cmFs
Janta General Store Kamathipura Mumbai Central,100 mts.,,0 Votes,"Shop No 1, Bit Chawl, Mumbai Central, Mumbai - 400008, Kamathipura",https://www.justdial.com/Mumbai/Janta-General-Store-Kamathipura-Mumbai-Central/022PXX22-XX22-180212184005-B9Q2_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEthbWF0aGlwdXJhIE11bWJhaSBDZW50cmFs
Shimali General Store Opposite Fauzia Hospital Kamathipura Mumbai Central,100 mts.,,0 Votes,"Shop No 2, Suleman Tower, Bapty Road, Mumbai Central, Mumbai - 400008, Opposite Fauzia Hospital, Kamathipura",https://www.justdial.com/Mumbai/Shimali-General-Store-Opposite-Fauzia-Hospital-Kamathipura-Mumbai-Central/022PXX22-XX22-180213144004-I4B1_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEthbWF0aGlwdXJhIE11bWJhaSBDZW50cmFs
Shree Shamkari Kirana General Store Kamathipura Mumbai Central,100 mts.,,0 Votes,"Shop No 3, 8th Kamathipura Lane, Mumbai Central, Mumbai - 400008, Kamathipura",https://www.justdial.com/Mumbai/Shree-Shamkari-Kirana-General-Store-Kamathipura-Mumbai-Central/022PXX22-XX22-190517170041-Z9J2_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEthbWF0aGlwdXJhIE11bWJhaSBDZW50cmFs
Pooja 99 Shop 3rd Lane Kamathipura Nagpada Mumbai Central,0.01 KM,,0 Votes,"Shop No 72/104, MR Road, Nagpada-Mumbai Central, Mumbai - 400008, 3rd Lane Kamathipura",https://www.justdial.com/Mumbai/Pooja-99-Shop-3rd-Lane-Kamathipura-Nagpada-Mumbai-Central/022PXX22-XX22-140621181804-Z4S6_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEthbWF0aGlwdXJhIE11bWJhaSBDZW50cmFs
Dhanlaxmi Opp Hotel Jay Prakash Kamathipura Mumbai Central,0.01 KM,,0 Votes,"Shop No. 7, Reshamwala Bldg, M.R. Road, Kamathipura-Mumbai Central, Mumbai - 400008, Opp. Hotel Jay Prakash",https://www.justdial.com/Mumbai/Dhanlaxmi-Opp-Hotel-Jay-Prakash-Kamathipura-Mumbai-Central/022PXX22-XX22-161001112242-R6N7_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEthbWF0aGlwdXJhIE11bWJhaSBDZW50cmFs
Om Prakash General Stores Kamathipura mumbai Central,0.04 KM,4.4,7 Votes,"Shop 9, Murgiwala Chawl, M R Road, 12th Lane, Kamathipura-mumbai Central, Mumbai - 400008",https://www.justdial.com/Mumbai/Om-Prakash-General-Stores-Kamathipura-mumbai-Central/022PXX22-XX22-130117140429-W6U7_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEthbWF0aGlwdXJhIE11bWJhaSBDZW50cmFs
Shree Rajendra Medical General Stores Near Natraj Centre Mumbai Central,0.04 KM,,0 Votes,"Shop No.36/40, Kamathipura 10th Lane, M. R. Road, Mumbai Central, Mumbai - 400008, Near Natraj Centre",https://www.justdial.com/Mumbai/Shree-Rajendra-Medical-General-Stores-Near-Natraj-Centre-Mumbai-Central/022PXX22-XX22-160604141400-C4K2_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEthbWF0aGlwdXJhIE11bWJhaSBDZW50cmFs
