Name,Distance,Rating,Votes,Address,Website
Gokul Medical General Stores Behind Saidham Temple Thakur Complex Kandivali East,0.23 KM,4.2,121 Votes,"Shop No 2, Bhagirathi Bhavan, Asha Nagar Road, Kandivali East, Mumbai - 400101, Behind Saidham Temple,Thakur Complex",https://www.justdial.com/Mumbai/Gokul-Medical-General-Stores-Behind-Saidham-Temple-Thakur-Complex-Kandivali-East/022P8950129_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEthbmRpdmFsaSBFYXN0
Pinky Provision General Stores Behind Saidham Mandir Western Express Highway Thakur Complex kandivali East,0.29 KM,4.0,12 Votes,"Shop No 3, AMI Building, Asha Nagar Road, Thakur Complex-kandivali East, Mumbai - 400101, Behind Saidham Mandir, Western Express Highway",https://www.justdial.com/Mumbai/Pinky-Provision-General-Stores-Behind-Saidham-Mandir-Western-Express-Highway-Thakur-Complex-kandivali-East/022P1918607_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEthbmRpdmFsaSBFYXN0
Welcome Medical General Store Behind Saidham Mandir Thakur Complex kandivali East,0.28 KM,4.3,24 Votes,"Shop No 6, AMI Aprtmant, Asha Nagar Road, Thakur Complex-kandivali East, Mumbai - 400101, Behind-Saidham Mandir",https://www.justdial.com/Mumbai/Welcome-Medical-General-Store-Behind-Saidham-Mandir-Thakur-Complex-kandivali-East/022PXX22-XX22-120417010341-A1J7_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEthbmRpdmFsaSBFYXN0
Hari Om General Stores Opp Pizza Hut Kandivali East,0.77 KM,3.5,18 Votes,"Shop No 43. Shree Ganesh Aangan CHS Ltd, Thakur Village, Kandivali East, Mumbai - 400101, Opp Pizza Hut",https://www.justdial.com/Mumbai/Hari-Om-General-Stores-Opp-Pizza-Hut-Kandivali-East/022PXX22-XX22-120806064453-W5J1_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEthbmRpdmFsaSBFYXN0
Bhanu Medical General Store Opposite Thakur Vidhaya Mandir School Thakur Complex kandivali East,0.23 KM,4.4,73 Votes,"Shop No 1, Avon Plaza, Thakur Complex-kandivali East, Mumbai - 400101, Opposite Thakur Vidhaya Mandir School",https://www.justdial.com/Mumbai/Bhanu-Medical-General-Store-Opposite-Thakur-Vidhaya-Mandir-School-Thakur-Complex-kandivali-East/022P8125310_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEthbmRpdmFsaSBFYXN0
Ashirwad Medical General Store Opposite Box 8 Thakur Village kandivali East,0.82 KM,4.2,26 Votes,"Shop No 12, Shree Ganesh Aangan Cooperative Housing Society Ltd, Thakur Village-kandivali East, Mumbai - 400101, Opposite Box 8",https://www.justdial.com/Mumbai/Ashirwad-Medical-General-Store-Opposite-Box-8-Thakur-Village-kandivali-East/022P8011609_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEthbmRpdmFsaSBFYXN0
Nayak General Stores Near 90 Feet Road Thakur Complex Kandivali East,0.35 KM,3.6,7 Votes,"Shop No 9, Satyam Apartment, Thakur Complex-Kandivali East, Mumbai - 400101, Near 90 Feet Road",https://www.justdial.com/Mumbai/Nayak-General-Stores-Near-90-Feet-Road-Thakur-Complex-Kandivali-East/022PXX22-XX22-140518003338-F4A2_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEthbmRpdmFsaSBFYXN0
Pooja Medical General Stores Near Thakur House Kandivali East,1.33 KM,3.9,26 Votes,"Shop No1, Nagvekar Apartment, Akurli Road, Kandivali East, Mumbai - 400101, Near Thakur House",https://www.justdial.com/Mumbai/Pooja-Medical-General-Stores-Near-Thakur-House-Kandivali-East/022PXX22-XX22-120309191828-K4V2_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEthbmRpdmFsaSBFYXN0
Vipul Dry Fruits And General Stores Gokul Garden Bus Stop Thakur Complex Kandivali East,0.28 KM,4.2,23 Votes,"Shop No.29,Gokul Garden Building, Thakur Complex, Thakur Complex-Kandivali East, Mumbai - 400101, Gokul Garden Bus Stop",https://www.justdial.com/Mumbai/Vipul-Dry-Fruits-And-General-Stores-Gokul-Garden-Bus-Stop-Thakur-Complex-Kandivali-East/022P5416443_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEthbmRpdmFsaSBFYXN0
Metro Chemist Opposite Bank Of Baroda Thakur Village kandivali East,0.93 KM,4.0,72 Votes,"Shop No 87, Building No 43 Emp, Thakur Village-kandivali East, Mumbai - 400101, Opposite Bank Of Baroda",https://www.justdial.com/Mumbai/Metro-Chemist-Opposite-Bank-Of-Baroda-Thakur-Village-kandivali-East/022PXX22-XX22-120402235314-I9Q4_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEthbmRpdmFsaSBFYXN0
