Name,Distance,Rating,Votes,Address,Website
Pawan Super Shopee Sector 2 Kandivali West,1.92 KM,4.1,29 Votes,"Shop No 2/3/4, Rukmini Building, Plot No 36, Kandivali West, Mumbai - 400067, Sector 2",https://www.justdial.com/Mumbai/Pawan-Super-Shopee-Sector-2-Kandivali-West/022PXX22-XX22-160229081100-H5T4_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEthbmRpdmFsaSBXZXN0
Rajeshwar Super Market Near Atharva College Kandivali West,1.27 KM,4.8,4 Votes,"Shop No.8, Bldg-24,, Ekta Nagar, Kandivali West, Mumbai - 400067, Near Atharva College",https://www.justdial.com/Mumbai/Rajeshwar-Super-Market-Near-Atharva-College-Kandivali-West/022PXX22-XX22-150721144009-C9K9_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEthbmRpdmFsaSBXZXN0
Noble Super Market Off New Link Road Kandivali West,0.43 KM,4.0,17 Votes,"Shop No 9, Orchid Suburban Ptc Building, Bunder Pakhadi Road, Kandivali West, Mumbai - 400067, Off New Link Road",https://www.justdial.com/Mumbai/Noble-Super-Market-Off-New-Link-Road-Kandivali-West/022PXX22-XX22-160610083025-N8Z5_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEthbmRpdmFsaSBXZXN0
New Meghdhanush Medical General Store Opposite Humlog Society Kandivali West,0.98 KM,4.3,195 Votes,"Shop No 19 & 20,Kamal Apartment,Neelambuj,, Shankar Lane, Kandivali West, Mumbai - 400067, Opposite Humlog Society,",https://www.justdial.com/Mumbai/New-Meghdhanush-Medical-General-Store-Opposite-Humlog-Society-Kandivali-West/022PXX22-XX22-110918224455-H3N3_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEthbmRpdmFsaSBXZXN0
All India Medical General Services Dahanukar Wadi Kandivali West,0.21 KM,4.0,35 Votes,"Shop 4/5, Ground Floor, Dattatray Apartment, M G Road, Kandivali West, Mumbai - 400067, Dahanukar Wadi",https://www.justdial.com/Mumbai/All-India-Medical-General-Services-Dahanukar-Wadi-Kandivali-West/022PXX22-XX22-130214122124-G6E7_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEthbmRpdmFsaSBXZXN0
J D Brothers Kandivali West,1.41 KM,4.0,49 Votes,"Shop 1, Shiv Plaza, Station Road, Kandivali West, Mumbai - 400067",https://www.justdial.com/Mumbai/J-D-Brothers-Kandivali-West/022PK030712_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEthbmRpdmFsaSBXZXN0
Jeevan Jyoti Medical Stores Near Dr Mina Rane Charkop Sector 1 Kandivali West,1.69 KM,4.1,155 Votes,"Shop No 2, Priya Darshani Co Operative Housing Society, Plot 111, Kandivali West, Mumbai - 400067, Near Dr Mina Rane, Charkop, Sector 1",https://www.justdial.com/Mumbai/Jeevan-Jyoti-Medical-Stores-Near-Dr-Mina-Rane-Charkop-Sector-1-Kandivali-West/022P1232728247E6Q9M3_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEthbmRpdmFsaSBXZXN0
Poornima Medical General Store Near Nirmal collage Kandivali West,0.36 KM,4.3,30 Votes,"Shop No B 1, Samrudhi Shopping Centre, M G Road, Kandivali West, Mumbai - 400067, Near Nirmal collage",https://www.justdial.com/Mumbai/Poornima-Medical-General-Store-Near-Nirmal-collage-Kandivali-West/022P1233745913D6W5A4_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEthbmRpdmFsaSBXZXN0
Siddhi Dry Fruits Opp Natural Icecream Mahavir Nagar Kandivali West,0.49 KM,4.2,93 Votes,"Shop No. C-2 Ratnakar Bldg, Mahavir Nagar, Mahavir Nagar-Kandivali West, Mumbai - 400067, Opp Natural Icecream",https://www.justdial.com/Mumbai/Siddhi-Dry-Fruits-Opp-Natural-Icecream-Mahavir-Nagar-Kandivali-West/022PXX22-XX22-140211161108-N3A2_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEthbmRpdmFsaSBXZXN0
Anand Mangal Medical and General Store M G Cross Road No 4 Kandivali West,0.67 KM,4.0,46 Votes,"Shop No. A/5 Neelyog Apt., Patel Nagar, Kandivali West, Mumbai - 400067, M. G. Cross Road No. 4",https://www.justdial.com/Mumbai/Anand-Mangal-Medical-and-General-Store-M-G-Cross-Road-No-4-Kandivali-West/022PXX22-XX22-110918225718-A3L5_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEthbmRpdmFsaSBXZXN0
Lalit General Stores Dhanukar Wadi Kandivali West,0.28 KM,3.6,48 Votes,"1-2, Bobby Shopping Complex, Mg Road, Kandivali West, Mumbai - 400067, Dhanukar Wadi",https://www.justdial.com/Mumbai/Lalit-General-Stores-Dhanukar-Wadi-Kandivali-West/022PXX22-XX22-100523150858-L7T1_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEthbmRpdmFsaSBXZXN0
Vipul General Stores Dahanukar Wadi Near 5 Star Dairy Kandivali West,0.63 KM,3.8,10 Votes,"9, Bobby Shopping Centre, M G Road, Kandivali West, Mumbai - 400067, Dahanukar Wadi, Near 5 Star Dairy",https://www.justdial.com/Mumbai/Vipul-General-Stores-Dahanukar-Wadi-Near-5-Star-Dairy-Kandivali-West/022P1917532_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEthbmRpdmFsaSBXZXN0
