Name,Distance,Rating,Votes,Address,Website
Vinayak General Stores Opp Church Kanjurmarg East,1.13 KM,4.1,12 Votes,"Shop No. 1, Main Market, Kanjur Village Marg, Kanjurmarg East, Mumbai - 400042, Opp. Church",https://www.justdial.com/Mumbai/Vinayak-General-Stores-Opp-Church-Kanjurmarg-East/022PXX22-XX22-000188437836-G6R4_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEthbmp1cm1hcmc=
Metro Electric Hardware Mart Near Kanjur Village Nehru Nagar Kanjurmarg East,0.53 KM,3.9,8 Votes,"Shop No 3, Fatima Mansion, Station Road, Kanjurmarg East, Mumbai - 400042, Near Kanjur Village, Nehru Nagar",https://www.justdial.com/Mumbai/Metro-Electric-Hardware-Mart-Near-Kanjur-Village-Nehru-Nagar-Kanjurmarg-East/022PXX22-XX22-000805392415-W4M2_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEthbmp1cm1hcmc=
Vidhit Medical General Stores Kanjurmarg East,0.61 KM,4.3,5 Votes,"Shop No 1, Kalpataru Building, Village Rd, Kanjurmarg East, Mumbai - 400042",https://www.justdial.com/Mumbai/Vidhit-Medical-General-Stores-Kanjurmarg-East/022P1238092161W4N9R8_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEthbmp1cm1hcmc=
Ankur Medical General Stores Kanjurmarg East,0.73 KM,4.0,14 Votes,"10, God Colony, Annabhau Godbole Road, Kanjurmarg East, Mumbai - 400042",https://www.justdial.com/Mumbai/Ankur-Medical-General-Stores-Kanjurmarg-East/022P1228499574C5U1G5_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEthbmp1cm1hcmc=
Janata Medical General Store Opposite Nch Colony Kanjurmarg West,0.38 KM,4.1,25 Votes,"Shop No 1, L B S Road, Kanjurmarg West, Mumbai - 400078, Opposite Nch Colony",https://www.justdial.com/Mumbai/Janata-Medical-General-Store-Opposite-Nch-Colony-Kanjurmarg-West/022PXX22-XX22-120307040409-P4Y5_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEthbmp1cm1hcmc=
Raj Tobacco General Stores Kanjurmarg West,0.28 KM,3.7,5 Votes,"Shop No 3, Station Road, Kanjurmarg West, Mumbai - 400078",https://www.justdial.com/Mumbai/Raj-Tobacco-General-Stores-Kanjurmarg-West/022P1219041296Q2Y7U6_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEthbmp1cm1hcmc=
Jai Jalaram General Store Nehru Nagar Kanjurmarg East,0.6 KM,4.3,7 Votes,"Shop No 2, Kalab Hussain Chawl, Kanjurmarg East, Mumbai - 400042, Nehru Nagar",https://www.justdial.com/Mumbai/Jai-Jalaram-General-Store-Nehru-Nagar-Kanjurmarg-East/022P1206370724P3U2V3_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEthbmp1cm1hcmc=
Dedhia General Stores Opposite Ankur Hospital Nehru Nagar Kanjurmarg East,0.73 KM,5.0,1 Votes,"Shop No 4, God Colony, Kanjurmarg East, Mumbai - 400042, Opposite Ankur Hospital, Nehru Nagar",https://www.justdial.com/Mumbai/Dedhia-General-Stores-Opposite-Ankur-Hospital-Nehru-Nagar-Kanjurmarg-East/022PXX22-XX22-171230150017-A8X7_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEthbmp1cm1hcmc=
Lalan Medical General Stores Main Market Kanjurmarg East,1.02 KM,3.8,6 Votes,"Shop No. 7, Shankar Rajaram Valvi Chawl, Kanjur Village Marg, Kanjurmarg East, Mumbai - 400042, Main Market",https://www.justdial.com/Mumbai/Lalan-Medical-General-Stores-Main-Market-Kanjurmarg-East/022P1226702816I9E9G2_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEthbmp1cm1hcmc=
Pravin General Stores Opp Mahada Colony Kanjurmarg West,0.3 KM,,0 Votes,"Shop No 9, Kanjur Estate, Station Rd Kanjur, Kanjurmarg West, Mumbai - 400078, Opp Mahada Colony",https://www.justdial.com/Mumbai/Pravin-General-Stores-Opp-Mahada-Colony-Kanjurmarg-West/022PXX22-XX22-140724161115-P7B3_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEthbmp1cm1hcmc=
Jayprakash General Stores Near Fish Market Kanjurmarg East,,1.0,1 Votes,"Kanjurmarg East, Mumbai - 400042, Near Fish Market",https://www.justdial.com/Mumbai/Jayprakash-General-Stores-Near-Fish-Market-Kanjurmarg-East/022P1226703144X9E1B3_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEthbmp1cm1hcmc=
Kirti Book Gen Stores Kanjurmarg East,,2.0,1 Votes,"Shop No 3, Main Market, Kanjurmarg East, Mumbai - 400042",https://www.justdial.com/Mumbai/Kirti-Book-Gen-Stores-Kanjurmarg-East/022PXX22-XX22-000116018857-F6S6_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEthbmp1cm1hcmc=
Deepak General Stores Kanjurmarg East,,,0 Votes,"Kranti Nagar, Kamal Sagar, Kanjurmarg, Mumbai, Kanjurmarg, Kanjurmarg East, Mumbai - 400042",https://www.justdial.com/Mumbai/Deepak-General-Stores-Kanjurmarg-East/022PXX22-XX22-110327223741-A8Z7_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEthbmp1cm1hcmc=
Aaryan general store Kanjurmarg West,,,0 Votes,"201 samaj chs mrda road stn road, Kanjurmarg West, Mumbai - 400078",https://www.justdial.com/Mumbai/Aaryan-general-store-Kanjurmarg-West/022PXX22-XX22-160210122357-B3W7_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEthbmp1cm1hcmc=
Santosh Milk Center General Store Kanjurmarg East,,,0 Votes,"Shop No 1, Shiv Prasad Society, Karve Nagar Road, Kanjurmarg East, Mumbai - 400042",https://www.justdial.com/Mumbai/Santosh-Milk-Center-General-Store-Kanjurmarg-East/022PXX22-XX22-180423212014-W8N8_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEthbmp1cm1hcmc=
Jyoti General Stores Opp Sbi Kanjurmarg East,,3.5,2 Votes,"Kanjurmarg East, Mumbai - 400042, Opp Sbi",https://www.justdial.com/Mumbai/Jyoti-General-Stores-Opp-Sbi-Kanjurmarg-East/022PXX22-XX22-180520134251-Y5V1_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEthbmp1cm1hcmc=
Maharashtra Biscuit General Stores Opposite Dockyard Colony Kanjurmarg West,0.36 KM,,0 Votes,"Shop No.32 2/2, L.B.S.Marg, Kanjurmarg West, Mumbai - 400078, Opposite Dockyard Colony",https://www.justdial.com/Mumbai/Maharashtra-Biscuit-General-Stores-Opposite-Dockyard-Colony-Kanjurmarg-West/022PXX22-XX22-170901153609-Q4V4_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEthbmp1cm1hcmc=
Ganesh General Store Near Lbs Marg Kanjurmarg East,0.37 KM,5.0,2 Votes,"Shop No A/3, Ekta Society, Karve Nagar Road, Kanjurmarg East, Mumbai - 400042, Near Lbs Marg",https://www.justdial.com/Mumbai/Ganesh-General-Store-Near-Lbs-Marg-Kanjurmarg-East/022PXX22-XX22-180423213007-V7Y3_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEthbmp1cm1hcmc=
Bhawani Medical General Stores Opp Aniket Hospital Kanjurmarg East,0.6 KM,3.7,19 Votes,"Shop No 4, Thakkar Estate Chawl, Kanjurmarg East, Mumbai - 400042, Opp Aniket Hospital",https://www.justdial.com/Mumbai/Bhawani-Medical-General-Stores-Opp-Aniket-Hospital-Kanjurmarg-East/022P1219834915J3K2P7_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEthbmp1cm1hcmc=
Janta Provision Stores Near Saibaba Mandir Kanjurmarg East,,,0 Votes,"Shop No 2, Mourya Chawl, Nehru Nagar, Kanjurmarg East, Mumbai - 400042, Near Saibaba Mandir",https://www.justdial.com/Mumbai/Janta-Provision-Stores-Near-Saibaba-Mandir-Kanjurmarg-East/022PXX22-XX22-180416215006-Y2Z2_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEthbmp1cm1hcmc=
Sejal Dairy General Stores Kanjurmarg East,0.64 KM,,0 Votes,"Shop No 5, Chandrabai Niwas, K V Road, Kanjurmarg East, Mumbai - 400042",https://www.justdial.com/Mumbai/Sejal-Dairy-General-Stores-Kanjurmarg-East/022PXX22-XX22-190314214008-C4P1_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEthbmp1cm1hcmc=
Agrawal Mahesh Jagdish Indira Nagar Kanjurmarg Bhandup East,0.74 KM,,0 Votes,"Shop No 3 Room No 2, Kalpa Taru, Bhandup East, Mumbai - 400042, Indira Nagar, Kanjurmarg",https://www.justdial.com/Mumbai/Agrawal-Mahesh-Jagdish-Indira-Nagar-Kanjurmarg-Bhandup-East/022P8127618_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEthbmp1cm1hcmc=
Jasmin Provision General Stores Near State Bank Of India Kanjurmarg East,0.77 KM,4.0,2 Votes,"Shop No 1-2, Shah Shopping Centre, Station Road, Kanjurmarg East, Mumbai - 400042, Near State Bank Of India",https://www.justdial.com/Mumbai/Jasmin-Provision-General-Stores-Near-State-Bank-Of-India-Kanjurmarg-East/022P1224607607S1W6J6_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEthbmp1cm1hcmc=
Shree Siddhagiri Stores Near Golden Palace Building Kanjurmarg East,0.96 KM,,0 Votes,"Shop No. 10, Arunodaya Niwas, Golden Palace Road, Kanjurmarg East, Mumbai - 400042, Near Golden Palace Building",https://www.justdial.com/Mumbai/Shree-Siddhagiri-Stores-Near-Golden-Palace-Building-Kanjurmarg-East/022PXX22-XX22-160205120806-V6Z2_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEthbmp1cm1hcmc=
Nagarik Stores Kanjurmarg East,1.03 KM,3.9,44 Votes,"Shop No.7, Sebastian D'souza Chawl, Kanjur Village Road, Kanjurmarg East, Mumbai - 400042",https://www.justdial.com/Mumbai/Nagarik-Stores-Kanjurmarg-East/022PK053062_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEthbmp1cm1hcmc=
