Name,Distance,Rating,Votes,Address,Website
Diamond Stores Opp ACI Cumballa Hospital Kemps Corner,0.52 KM,3.8,22 Votes,"Shop No 96, Bhiwandiwala Building, August Kranti Marg, Kemps Corner, Mumbai - 400026, Opp ACI Cumballa Hospital",https://www.justdial.com/Mumbai/Diamond-Stores-Opp-ACI-Cumballa-Hospital-Kemps-Corner/022PXX22-XX22-000038290740-E7G8_BZDET?xid=TXVtYmFpIEdyb2NlcnkgU3RvcmVzIEtlbXBzIENvcm5lcg==
Kamdhenu Gowalia Tank Kemps Corner,0.46 KM,4.2,55 Votes,"Shop No. 20, Warden Court Building, Gowalia Tank Road, Kemps Corner, Mumbai - 400006, Gowalia Tank",https://www.justdial.com/Mumbai/Kamdhenu-Gowalia-Tank-Kemps-Corner/022P8127623_BZDET?xid=TXVtYmFpIEdyb2NlcnkgU3RvcmVzIEtlbXBzIENvcm5lcg==
Ajanta Stores Kemps Corner Kemps Corner,0.26 KM,,0 Votes,"Shop No 04, Gala No 03 Sohani Mansions, Gowalia Tank Road, Kemps Corner, Mumbai - 400006, Kemps Corner",https://www.justdial.com/Mumbai/Ajanta-Stores-Kemps-Corner-Kemps-Corner/022PXX22-XX22-150309103930-K3F9_BZDET?xid=TXVtYmFpIEdyb2NlcnkgU3RvcmVzIEtlbXBzIENvcm5lcg==
Mahavir Store Opposite Bhatiya Hospital Kemps Corner,,,0 Votes,"14/16, Forjett Terrace Building Shop No 8, Forjett Hill Road, Kemps Corner, Mumbai - 400006, Opposite Bhatiya Hospital",https://www.justdial.com/Mumbai/Mahavir-Store-Opposite-Bhatiya-Hospital-Kemps-Corner/022PXX22-XX22-121017012354-Z8K4_BZDET?xid=TXVtYmFpIEdyb2NlcnkgU3RvcmVzIEtlbXBzIENvcm5lcg==
Monarch Dry Fruit Opposite Sheetal Baug Bus Stop Walkeshwar,1.26 KM,3.8,43 Votes,"Shop No. 48-50, Surya Darshan Building, Walkeshwar Road, Walkeshwar, Mumbai - 400006, Opposite Sheetal Baug Bus Stop",https://www.justdial.com/Mumbai/Monarch-Dry-Fruit-Opposite-Sheetal-Baug-Bus-Stop-Walkeshwar/022PXX22-XX22-090603024944-G4R7_BZDET?xid=TXVtYmFpIEdyb2NlcnkgU3RvcmVzIEtlbXBzIENvcm5lcg==
Godrej Natures Basket Opposite Mahalaxmi Temple Near Nalli Sarees Warden Road,1.37 KM,4.1,1290 Votes,"Shop No.8, Ground Floor, Tirupati Apartment, Bhulabhai Desai Road, Warden Road, Mumbai - 400026, Opposite Mahalaxmi Temple, Near Nalli Sarees",https://www.justdial.com/Mumbai/Godrej-Natures-Basket-Opposite-Mahalaxmi-Temple-Near-Nalli-Sarees-Warden-Road/022P8006103_BZDET?xid=TXVtYmFpIEdyb2NlcnkgU3RvcmVzIEtlbXBzIENvcm5lcg==
Sahakari Bhandar Next to Amarsons Opposite Breach Candy Hospital Breach Candy,0.77 KM,3.9,253 Votes,"Shop No 63, Bhulabhai Desai Road, Breach Candy, Mumbai - 400026, Next to Amarsons, Opposite Breach Candy Hospital",https://www.justdial.com/Mumbai/Sahakari-Bhandar-Next-to-Amarsons-Opposite-Breach-Candy-Hospital-Breach-Candy/022P651756_BZDET?xid=TXVtYmFpIEdyb2NlcnkgU3RvcmVzIEtlbXBzIENvcm5lcg==
Kenorita Supermarket Opposite Dariya Mahal Near Priya Darshni Nepean Sea Road,1.38 KM,4.1,471 Votes,"75, Sagar Tarang Building, Nepean Sea Road, Mumbai - 400006, Opposite Dariya Mahal, Near Priya Darshni",https://www.justdial.com/Mumbai/Kenorita-Supermarket-Opposite-Dariya-Mahal-Near-Priya-Darshni-Nepean-Sea-Road/022P8710505_BZDET?xid=TXVtYmFpIEdyb2NlcnkgU3RvcmVzIEtlbXBzIENvcm5lcg==
Jain Provision Stores Shripal Nagar Walkeshwar,1.91 KM,3.9,72 Votes,"Shop No 101, 12,J Mehta Marg, Walkeshwar, Mumbai - 400006, Shripal Nagar",https://www.justdial.com/Mumbai/Jain-Provision-Stores-Shripal-Nagar-Walkeshwar/022PTE01397_BZDET?xid=TXVtYmFpIEdyb2NlcnkgU3RvcmVzIEtlbXBzIENvcm5lcg==
Sahakari Bhandar Opposite Priyadarshini Park Nepean Sea Road,0.96 KM,4.0,214 Votes,"Hyderabad Estate, B Block, Ground Floor, Nepean Sea Road, Mumbai - 400006, Opposite Priyadarshini Park",https://www.justdial.com/Mumbai/Sahakari-Bhandar-Opposite-Priyadarshini-Park-Nepean-Sea-Road/022PXX22-XX22-100916143840-J6F9_BZDET?xid=TXVtYmFpIEdyb2NlcnkgU3RvcmVzIEtlbXBzIENvcm5lcg==
