Name,Distance,Rating,Votes,Address,Website
Quality Picnic Opposite Regal Foot Store Near Telephone Exchange Khar West,0.77 KM,4.2,247 Votes,"Shop No. 6, Ground Floor, Meghdoot Building, Linking Road, Khar West, Mumbai - 400052, Opposite Regal Foot Store, Near Telephone Exchange",https://www.justdial.com/Mumbai/Quality-Picnic-Opposite-Regal-Foot-Store-Near-Telephone-Exchange-Khar-West/022P8005111_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEtoYXI=
Shri Vishnu Stores Near Corner Of 3rd Road P D Hinduja Marg Opposite Dr Jumani Khar West,0.58 KM,4.1,85 Votes,"783 A, Shiv Shakti Building, Khar Pali Road, Khar West, Mumbai - 400052, Near Corner Of 3rd Road & P D Hinduja Marg, Opposite Dr Jumani",https://www.justdial.com/Mumbai/Shri-Vishnu-Stores-Near-Corner-Of-3rd-Road-P-D-Hinduja-Marg-Opposite-Dr-Jumani-Khar-West/022P1233596249A2N1Y4_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEtoYXI=
Jay Pharma Medico General Stores Next to Tharu Sweets Opposite Janakalyan Sahakari Bank Khar West,0.29 KM,4.0,34 Votes,"782,East View Building,Shop No 6, 4th Road, Khar West, Mumbai - 400052, Next to Tharu Sweets, Opposite Janakalyan Sahakari Bank",https://www.justdial.com/Mumbai/Jay-Pharma-Medico-General-Stores-Next-to-Tharu-Sweets-Opposite-Janakalyan-Sahakari-Bank-Khar-West/022PXX22-XX22-120301202012-H4U2_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEtoYXI=
Citizen Dry Fruit General Stores Opposite Hallmark Khar Danda khar West,1.03 KM,3.9,31 Votes,"Shop No 3 , Jai Niketan Building, 16th Road, Khar Danda-khar West, Mumbai - 400052, Opposite Hallmark",https://www.justdial.com/Mumbai/Citizen-Dry-Fruit-General-Stores-Opposite-Hallmark-Khar-Danda-khar-West/022PXX22-XX22-121211145108-Q2A9_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEtoYXI=
Ajanta Medical General Stores Near 1st 12th Road Corner Near Madhu Park Khar West,0.61 KM,4.2,39 Votes,"Heera House, Chitrakar Dhurandhar Marg, Khar West, Mumbai - 400052, Near 1st & 12th Road Corner, Near Madhu Park",https://www.justdial.com/Mumbai/Ajanta-Medical-General-Stores-Near-1st-12th-Road-Corner-Near-Madhu-Park-Khar-West/022P610554_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEtoYXI=
MANIK General Stores NEAR BOURN BOURN MEDICAL NEAR BOMBAY Khar West,1.5 KM,3.8,9 Votes,"Shop No 2.Dhanhil Bulding, Dr Ambedkar Road, Khar West, Mumbai - 400052, NEAR BOURN BOURN MEDICAL NEAR BOMBAY",https://www.justdial.com/Mumbai/MANIK-General-Stores-NEAR-BOURN-BOURN-MEDICAL-NEAR-BOMBAY-Khar-West/022P209556_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEtoYXI=
National Medical Super Market Opposite Maharashtra Bank Next to Nike Showroom Khar West,1.05 KM,3.9,59 Votes,"Shop No 1/2 , JAI Niketan Building, 16th Road, Khar West, Mumbai - 400052, Opposite Maharashtra Bank, Next to Nike Showroom",https://www.justdial.com/Mumbai/National-Medical-Super-Market-Opposite-Maharashtra-Bank-Next-to-Nike-Showroom-Khar-West/022P610545_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEtoYXI=
Manek stores Opp Gurunanak Hospital Khar West,1.11 KM,4.5,15 Votes,"316, Dun Hill Society, Dr Ambedkar Road, Khar West, Mumbai - 400052, Opp. Gurunanak Hospital",https://www.justdial.com/Mumbai/Manek-stores-Opp-Gurunanak-Hospital-Khar-West/022PXX22-XX22-140726164446-X9N1_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEtoYXI=
Jeevan Society Stores Near Kabutar Khana Khar West,0.21 KM,3.9,40 Votes,"Model Building, 2nd Road, Khar West, Mumbai - 400052, Near Kabutar Khana",https://www.justdial.com/Mumbai/Jeevan-Society-Stores-Near-Kabutar-Khana-Khar-West/022PF002544_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEtoYXI=
Ashok Medical General Stores Opp Pizza Metro Hotel Khar West,1.19 KM,4.3,28 Votes,"Shop No. 4 73/E, Ravi Kutir Building, Dr Ambedkar Road, Khar West, Mumbai - 400052, Opp. Pizza Metro Hotel",https://www.justdial.com/Mumbai/Ashok-Medical-General-Stores-Opp-Pizza-Metro-Hotel-Khar-West/022P5581710_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEtoYXI=
Paradise Medical General Store Near Khar Railway Station Khar West,0.23 KM,4.3,37 Votes,"3, Swahany Niwas, 3rd Road, Khar West, Mumbai - 400052, Near Khar Railway Station",https://www.justdial.com/Mumbai/Paradise-Medical-General-Store-Near-Khar-Railway-Station-Khar-West/022PK043234_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEtoYXI=
Peters Medical General Stores Near Dandpada Junction Next to Hanuman Mandir Khar West,1.63 KM,4.2,29 Votes,"Shop No 5, 55 D, Ramnath Prasad Building, Dr Ambedkar Road, Khar West, Mumbai - 400052, Near Dandpada Junction, Next to Hanuman Mandir",https://www.justdial.com/Mumbai/Peters-Medical-General-Stores-Near-Dandpada-Junction-Next-to-Hanuman-Mandir-Khar-West/022P5595334_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEtoYXI=
Canara provision and general store Near Shiv Sena Shakha Khar Danda Khar West,1.95 KM,5.0,1 Votes,"2nd Shenoy Cottage, Danpada, Khar Danda-Khar West, Mumbai - 400052, Near Shiv Sena Shakha",https://www.justdial.com/Mumbai/Canara-provision-and-general-store-Near-Shiv-Sena-Shakha-Khar-Danda-Khar-West/022PXX22-XX22-121012152311-M2A1_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEtoYXI=
Jay Pharma Medico General Store Opposite Mg Jewellers Khar West,0.29 KM,4.1,14 Votes,"Shop No 6 East View Building, Fort Road, Khar West, Mumbai - 400052, Opposite Mg Jewellers",https://www.justdial.com/Mumbai/Jay-Pharma-Medico-General-Store-Opposite-Mg-Jewellers-Khar-West/022PXX22-XX22-000739375129-M6B1_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEtoYXI=
Bon Bon Medical General Store Behind Khar Gymkhana Khar West,1.11 KM,4.2,31 Votes,"Shop No. 3, Calvery Apartment, Dr. Ambedkar Road, Khar West, Mumbai - 400052, Behind Khar Gymkhana",https://www.justdial.com/Mumbai/Bon-Bon-Medical-General-Store-Behind-Khar-Gymkhana-Khar-West/022PXX22-XX22-000896090126-E7E5_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEtoYXI=
Soni Provision Store Ram Bhuvan Restaurant Bar BMC Market Khar West,0.26 KM,4.5,2 Votes,"5th Road, Khar West, Mumbai - 400052, Ram Bhuvan Restaurant & Bar, BMC Market",https://www.justdial.com/Mumbai/Soni-Provision-Store-Ram-Bhuvan-Restaurant-Bar-BMC-Market-Khar-West/022PXX22-XX22-140623111143-S3E4_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEtoYXI=
Laxmi General Store Opp axis Bank Khar West,0.19 KM,,0 Votes,"Shop No 1, 4th Road, Khar West, Mumbai - 400052, Opp.axis Bank",https://www.justdial.com/Mumbai/Laxmi-General-Store-Opp-axis-Bank-Khar-West/022PXX22-XX22-140825163106-L4S7_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEtoYXI=
