Name,Distance,Rating,Votes,Address,Website
Jai Jagdish General Stores Opposite St Xavier Collage Fish Market Mahim Koliwada,,,0 Votes,"Shop No 15, Janseva Society, Causeway Road,, Mahim Koliwada, Mumbai - 400016, Opposite St Xavier Collage, Fish Market",https://www.justdial.com/Mumbai/Jai-Jagdish-General-Stores-Opposite-St-Xavier-Collage-Fish-Market-Mahim-Koliwada/022PXX22-XX22-170821124507-J2Y9_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIE1haGltIEtvbGl3YWRh
Naresh Milk Dairy General Stores Opposite Shiv Sena Shakha Mahim Koliwada,0.04 KM,,0 Votes,"Shop No 7, Fishermen Colony, Causeway Road, Mahim Koliwada, Mumbai - 400016, Opposite Shiv Sena Shakha",https://www.justdial.com/Mumbai/Naresh-Milk-Dairy-General-Stores-Opposite-Shiv-Sena-Shakha-Mahim-Koliwada/022PXX22-XX22-170819163503-F4L7_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIE1haGltIEtvbGl3YWRh
Rachana Dry Fruits Opposite Karnataka Sangh Hall Mahim,1.75 KM,4.3,22 Votes,"Shop No 2, Ajay Shopping Centre, T H Kataria Marg, Mahim, Mumbai - 400016, Opposite Karnataka Sangh Hall",https://www.justdial.com/Mumbai/Rachana-Dry-Fruits-Opposite-Karnataka-Sangh-Hall-Mahim/022P1933134_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIE1haGltIEtvbGl3YWRh
Nilkanth Super Market Near Mahim Bus Depot Mahim,1.13 KM,4.4,8 Votes,"Shop No.12, Mori Road, Mahim, Mumbai - 400016, Near Mahim Bus Depot",https://www.justdial.com/Mumbai/Nilkanth-Super-Market-Near-Mahim-Bus-Depot-Mahim/022PXX22-XX22-131026144449-E1P4_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIE1haGltIEtvbGl3YWRh
Amit Medical General Stores Near Raja Rani Travels and Ashray Hotel Mahim,1.96 KM,4.9,5 Votes,"Shop No 4, Plot No 211 C, Keshav Bhawan, L J Road, Mahim, Mumbai - 400016, Near Raja Rani Travels and Ashray Hotel",https://www.justdial.com/Mumbai/Amit-Medical-General-Stores-Near-Raja-Rani-Travels-and-Ashray-Hotel-Mahim/022P1980537_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIE1haGltIEtvbGl3YWRh
Mangalore General Stores Opposite Paradise Cinema 76 Alj Road Mahim,0.95 KM,3.9,48 Votes,"Shop No 8, Mohhamad Edu Manzil, Lady Jamshedji Road, Mahim, Mumbai - 400016, Opposite Paradise Cinema ,76 Alj Road",https://www.justdial.com/Mumbai/Mangalore-General-Stores-Opposite-Paradise-Cinema-76-Alj-Road-Mahim/022P1980607_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIE1haGltIEtvbGl3YWRh
Stop N Shop Boutique Near Victoria Church Mahim,1.31 KM,4.0,71 Votes,"4, Dimple Building, 133, L J Road, Mahim, Mumbai - 400016, Near Victoria Church",https://www.justdial.com/Mumbai/Stop-N-Shop-Boutique-Near-Victoria-Church-Mahim/022P1303708_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIE1haGltIEtvbGl3YWRh
Sagar Toys Shop OPP CANOSSA HIGH SCHOOL Mahim,0.88 KM,4.0,2 Votes,"SHOP NO.4 ROSARY BUILDING, Mia Mohd Chhotani Road, Mahim, Mumbai - 400016, OPP CANOSSA HIGH SCHOOL",https://www.justdial.com/Mumbai/Sagar-Toys-Shop-OPP-CANOSSA-HIGH-SCHOOL-Mahim/022P1980576_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIE1haGltIEtvbGl3YWRh
Jwell Chemist Next to Mahim Bus Depot Mahim,0.46 KM,4.2,15 Votes,"Shop No 1, Mohini Mansion, Mori Road, Mahim, Mumbai - 400016, Next to Mahim Bus Depot",https://www.justdial.com/Mumbai/Jwell-Chemist-Next-to-Mahim-Bus-Depot-Mahim/022PXX22-XX22-000197936106-S1F8_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIE1haGltIEtvbGl3YWRh
Mahim Super Masala Near Police Chowky Mahim,0.96 KM,5.0,2 Votes,"Shop No. 3, Kapad Bazar Road, Mahim, Mumbai - 400016, Near Police Chowky",https://www.justdial.com/Mumbai/Mahim-Super-Masala-Near-Police-Chowky-Mahim/022PXX22-XX22-130223135315-R8Y8_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIE1haGltIEtvbGl3YWRh
