Name,Distance,Rating,Votes,Address,Website
Home Foods Supermarket Opposite Don Bosco College Kurla West,1.93 KM,3.9,273 Votes,"Kohinoor City Mall, G43,, Premier Road, Kurla West, Mumbai - 400070, Opposite Don Bosco College",https://www.justdial.com/Mumbai/Home-Foods-Supermarket-Opposite-Don-Bosco-College-Kurla-West/022PXX22-XX22-171027143551-A1K6_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEt1cmxh
Baba Kirana Stores Near Panusulla Kurla West,0.64 KM,5.0,20 Votes,"Shop No-2, Jani Seth Chawl, Shri Krishna Chowk, New Mill Road, Kurla West, Mumbai - 400070, Near Panusulla",https://www.justdial.com/Mumbai/Baba-Kirana-Stores-Near-Panusulla-Kurla-West/022PXX22-XX22-130209141956-Z4R6_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEt1cmxh
Kirana Ghar Near Ration Office Nehru Nagar Kurla East,0.63 KM,3.9,245 Votes,"Shop No G/20/21/22/23, S G Barve Marg, Kurla East, Mumbai - 400024, Near Ration Office Nehru Nagar",https://www.justdial.com/Mumbai/Kirana-Ghar-Near-Ration-Office-Nehru-Nagar-Kurla-East/022P1942368_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEt1cmxh
Master Medical General Stores Opposite to Gol Building Kurla West,0.4 KM,4.5,32 Votes,"Shop No.5/0104, Ghag Bhuvan, Belgrami Road, Kurla West, Mumbai - 400070, Opposite to Gol Building",https://www.justdial.com/Mumbai/Master-Medical-General-Stores-Opposite-to-Gol-Building-Kurla-West/022PXX22-XX22-120127111937-B3P7_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEt1cmxh
Ranjan Chemist Krishna Chowk Kurla West,0.38 KM,3.5,12 Votes,"Shop No.4, Shreemal Centre, New Mill Road, Kurla West, Mumbai - 400070, Krishna Chowk",https://www.justdial.com/Mumbai/Ranjan-Chemist-Krishna-Chowk-Kurla-West/022P1236274900G2J3R6_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEt1cmxh
Prabhat General Stores Near Nehru Nagar Kurla East,0.41 KM,4.1,34 Votes,"Shop No. C17/18,, S G Barve Marg, Kurla East, Mumbai - 400024, Near Nehru Nagar",https://www.justdial.com/Mumbai/Prabhat-General-Stores-Near-Nehru-Nagar-Kurla-East/022PXX22-XX22-000276433427-B5L6_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEt1cmxh
Prince Chemist Near Bhabha Hospital Kurla West,0.34 KM,4.0,3 Votes,"Shop No.2, Madhu Niwas, S M Marg, Kurla West, Mumbai - 400070, Near Bhabha Hospital",https://www.justdial.com/Mumbai/Prince-Chemist-Near-Bhabha-Hospital-Kurla-West/022PXX22-XX22-120312213353-W1Z7_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEt1cmxh
Kurla Apna Bazar Near Mahesh Medical Kurla West,0.24 KM,3.0,1 Votes,"Shop No-80/A, MP MargPipe Road,, Pipe Line Rd Kurla, Kurla West, Mumbai - 400070, Near Mahesh Medical",https://www.justdial.com/Mumbai/Kurla-Apna-Bazar-Near-Mahesh-Medical-Kurla-West/022PXX22-XX22-121218124859-C8M6_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEt1cmxh
Anand Medical General Store Opposite Neel Kamal CHS Ltd Kurla West,0.48 KM,4.2,29 Votes,"Sidhmahal Bldg, Kurla West, Mumbai, Belgrami Road, Kurla West, Mumbai - 400070, Opposite Neel Kamal CHS Ltd.",https://www.justdial.com/Mumbai/Anand-Medical-General-Store-Opposite-Neel-Kamal-CHS-Ltd-Kurla-West/022P1229016952B9P6H4_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEt1cmxh
Durga Kirana Store Near Rado Medical Kurla West,,5.0,1 Votes,"Ashok Nagar, Kurla West, Mumbai - 400070, Near Rado Medical",https://www.justdial.com/Mumbai/Durga-Kirana-Store-Near-Rado-Medical-Kurla-West/022PXX22-XX22-180529124832-K1Z9_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEt1cmxh
New Gulzar Bakery Store Near Citi Hospital Off Lbs Marg Sonapur Kurla West,1.71 KM,4.3,6 Votes,"Shop No 5, Sagar Palace Building, Kurla West, Mumbai - 400070, Near Citi Hospital, Off Lbs Marg, Sonapur",https://www.justdial.com/Mumbai/New-Gulzar-Bakery-Store-Near-Citi-Hospital-Off-Lbs-Marg-Sonapur-Kurla-West/022P8017754_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEt1cmxh
New City Medical General Store Behind Sahara Hotel Kurla West,1.54 KM,4.1,23 Votes,"Shop No 3, Near Fozya Hospital, L B S MG Kurla, Kurla West, Mumbai - 400070, Behind Sahara Hotel",https://www.justdial.com/Mumbai/New-City-Medical-General-Store-Behind-Sahara-Hotel-Kurla-West/022PXX22-XX22-090818114325-V4X1_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEt1cmxh
Roshan Medical General Stores Kurla West,0.4 KM,,0 Votes,"Kurla Weast, Mumbai, Pipa Road, Kurla West, Mumbai - 400070",https://www.justdial.com/Mumbai/Roshan-Medical-General-Stores-Kurla-West/022PXX22-XX22-140524151154-M2Y8_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEt1cmxh
Kirana Bazaar Takya Ward Kurla West,0.42 KM,4.6,8 Votes,"218 Devji Teja Building, S M Road, Kurla West, Mumbai - 400070, Takya Ward",https://www.justdial.com/Mumbai/Kirana-Bazaar-Takya-Ward-Kurla-West/022PXX22-XX22-120620221039-B9L8_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEt1cmxh
Ramdev Grain Stores Kurla East,0.47 KM,4.5,24 Votes,"B Wing, Baba Vihar, Station Road, Kurla East, Mumbai - 400024",https://www.justdial.com/Mumbai/Ramdev-Grain-Stores-Kurla-East/022P1226681842Q7T9A5_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEt1cmxh
Gautam Medical General Stores Takia Ward Khot Chawl Kurla West,,4.0,2 Votes,"Shop No 11, 34 Vaishnav Co-Operative Housing Society, Kurla West, Mumbai - 400070, Takia Ward, Khot Chawl",https://www.justdial.com/Mumbai/Gautam-Medical-General-Stores-Takia-Ward-Khot-Chawl-Kurla-West/022PXX22-XX22-120207042909-C1W2_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEt1cmxh
Sahyadri Medical General Stores Near Shivsena Shakha Kurla West,0.63 KM,3.4,4 Votes,"Shop No-27/7, S M Road, Kurla West, Mumbai - 400070, Near Shivsena Shakha",https://www.justdial.com/Mumbai/Sahyadri-Medical-General-Stores-Near-Shivsena-Shakha-Kurla-West/022P1229009473J4S6C4_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEt1cmxh
Vasant Medical General Store Opposite Asia Grain Centre Kurla East,0.64 KM,4.3,15 Votes,"Shop No G/11/12, S G Barve Marg, Kurla East, Mumbai - 400024, Opposite Asia Grain Centre",https://www.justdial.com/Mumbai/Vasant-Medical-General-Store-Opposite-Asia-Grain-Centre-Kurla-East/022P5576483_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEt1cmxh
Navjivan Medical General Stores Nehru Nagar Kurla East,0.71 KM,3.0,2 Votes,"Shop No H/8, Dairy Road, Kurla East, Mumbai - 400024, Nehru Nagar",https://www.justdial.com/Mumbai/Navjivan-Medical-General-Stores-Nehru-Nagar-Kurla-East/022P1942383_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEt1cmxh
Lucky Book Depot General Stores Oppt Bhaba Hospital Kurla West,0.33 KM,3.5,10 Votes,"85/1 Small Gol Bldg, New Mill Road, Kurla West, Mumbai - 400070, Oppt Bhaba Hospital",https://www.justdial.com/Mumbai/Lucky-Book-Depot-General-Stores-Oppt-Bhaba-Hospital-Kurla-West/022PXX22-XX22-140408185137-Y5H9_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEt1cmxh
Welcome Store Near Karthika High School Junior College Kurla West,1.24 KM,5.0,2 Votes,"Shop No 4 Bhushan Bhavan, Hall Road, Kurla West, Mumbai - 400070, Near Karthika High School & Junior College",https://www.justdial.com/Mumbai/Welcome-Store-Near-Karthika-High-School-Junior-College-Kurla-West/022PXX22-XX22-180730145651-H3G5_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEt1cmxh
Noor Medical Store Near Police Chowky Kurla West,0.18 KM,4.2,25 Votes,"Shop No 1 House No 95 Rajkotwala Building, M P Road, Kurla West, Mumbai - 400070, Near Police Chowky",https://www.justdial.com/Mumbai/Noor-Medical-Store-Near-Police-Chowky-Kurla-West/022PXX22-XX22-000428322871-E8U3_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEt1cmxh
Paras Stores Near Tanaji Chowk Kurla West,0.3 KM,,0 Votes,"328, Rambha Bhavanshop No 1, New Mill Road, Kurla West, Mumbai - 400070, Near Tanaji Chowk",https://www.justdial.com/Mumbai/Paras-Stores-Near-Tanaji-Chowk-Kurla-West/022PXX22-XX22-180621230005-J5M3_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEt1cmxh
Roshan Medical General Store Opposite To Azad Hotel Kurla West,0.4 KM,2.0,1 Votes,"Shop No-5, Plot No-41, Nausan Building, Pipeline Road, Kurla West, Mumbai - 400070, Opposite To Azad Hotel",https://www.justdial.com/Mumbai/Roshan-Medical-General-Store-Opposite-To-Azad-Hotel-Kurla-West/022PXX22-XX22-121219131429-L8K4_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEt1cmxh
Apna General Stores Opposite L I G Colony Kurla West,0.45 KM,,0 Votes,"Shop No-6/10, A-Block, V.B.Nagar, Pipe Road, Kurla West, Mumbai - 400070, Opposite L.I.G.Colony",https://www.justdial.com/Mumbai/Apna-General-Stores-Opposite-L-I-G-Colony-Kurla-West/022PXX22-XX22-130111170204-B6K3_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEt1cmxh
Jai Santoshi General Stores Near Gol Building Kurla West,0.46 KM,5.0,1 Votes,"Shop No 5, Neelkamal Apartment, Belgrami Road, Kurla West, Mumbai - 400070, Near Gol Building",https://www.justdial.com/Mumbai/Jai-Santoshi-General-Stores-Near-Gol-Building-Kurla-West/022PXX22-XX22-140201212905-Q5J3_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEt1cmxh
Ambika General Stores Near Anjuman Islam High School Kurla West,0.53 KM,4.5,16 Votes,"Shop No.1, Building No.616, Hakkani Mansion, S G Barve Marg, Kurla West, Mumbai - 400070, Near Anjuman Islam High School",https://www.justdial.com/Mumbai/Ambika-General-Stores-Near-Anjuman-Islam-High-School-Kurla-West/022PXX22-XX22-140519140737-A5Z6_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEt1cmxh
Rajesh Medical General Stores Kurla West,,4.0,1 Votes,"Balaji Mandir Marg, Kurla West, Mumbai - 400070",https://www.justdial.com/Mumbai/Rajesh-Medical-General-Stores-Kurla-West/022PXX22-XX22-130212204033-J9I8_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEt1cmxh
Usha Kirana General Stores Kurla West,0.56 KM,,0 Votes,"Shop No 5, Anandi Niwas, Kurla West, Mumbai - 400070",https://www.justdial.com/Mumbai/Usha-Kirana-General-Stores-Kurla-West/022PXX22-XX22-151112111912-X9K1_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEt1cmxh
Pooja Medical General Stores Next to Bharat Bank Kurla East,0.57 KM,4.5,4 Votes,"Shop No 8, Building No 48, Sampada Co Operative Housing Society, S.G Barve Marg, Kurla East, Mumbai - 400024, Next to Bharat Bank",https://www.justdial.com/Mumbai/Pooja-Medical-General-Stores-Next-to-Bharat-Bank-Kurla-East/022PXX22-XX22-121009022426-A9B2_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEt1cmxh
Only Fresh Near Shamrao Vital Co Operative Bank Kurla East,0.58 KM,3.9,63 Votes,"Shop No 7/8, Building No 52, Ashirwad Society Nehru Nagar, Sg Barve Marg, Kurla East, Mumbai - 400024, Near Shamrao Vital Co-Operative Bank",https://www.justdial.com/Mumbai/Only-Fresh-Near-Shamrao-Vital-Co-Operative-Bank-Kurla-East/022PXX22-XX22-121210154942-X9H4_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEt1cmxh
Jay Sahydri Medical Near Shivsena Shakha Kurla West,0.6 KM,,0 Votes,"Shop No-27/7, Sm Marg, Kurla West, Mumbai - 400070, Near Shivsena Shakha",https://www.justdial.com/Mumbai/Jay-Sahydri-Medical-Near-Shivsena-Shakha-Kurla-West/022PXX22-XX22-121229165703-G8F6_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIEt1cmxh
