Name,Distance,Rating,Votes,Address,Website
New Vashi Market Lower Parel,0.6 KM,3.9,8 Votes,"45b, Shankar Rao Narampath, Lower Parel, Mumbai - 400013",https://www.justdial.com/Mumbai/New-Vashi-Market-Lower-Parel/022PXX22-XX22-180424150653-P2F6_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIExvd2VyIFBhcmVs
Jai Maharashtra Masala Near Lower Parel Station Lower Parel,0.17 KM,,0 Votes,"Shop No 21, Ganpatrao Kadam Marg, Lower Parel, Mumbai - 400013, Near Lower Parel Station",https://www.justdial.com/Mumbai/Jai-Maharashtra-Masala-Near-Lower-Parel-Station-Lower-Parel/022PXX22-XX22-141119114921-I5X6_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIExvd2VyIFBhcmVs
Jai Maharashtra Masale Opposite Bawla Masjid Lower Parel,0.44 KM,2.8,2 Votes,"No 231/A-3, Rangari Chawl, N M Joshi Marg, Lower Parel, Mumbai - 400013, Opposite Bawla Masjid",https://www.justdial.com/Mumbai/Jai-Maharashtra-Masale-Opposite-Bawla-Masjid-Lower-Parel/022PXX22-XX22-120303014138-M8K9_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIExvd2VyIFBhcmVs
Atharva Medical And General Stores Near Bavla Masjid Lower Parel,0.48 KM,4.4,5 Votes,"Shop No 4, Bavla Masjid Building, N M Joshi Marg, Lower Parel, Mumbai - 400013, Near Bavla Masjid",https://www.justdial.com/Mumbai/Atharva-Medical-And-General-Stores-Near-Bavla-Masjid-Lower-Parel/022PXX22-XX22-121030145608-N7M4_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIExvd2VyIFBhcmVs
Tip Top Medical General Store Near Hanuman Gali Lower Parel,0.55 KM,4.3,10 Votes,"Shop No 2, Gandharv Darshan Building, S N Path, Lower Parel, Mumbai - 400013, Near Hanuman Gali",https://www.justdial.com/Mumbai/Tip-Top-Medical-General-Store-Near-Hanuman-Gali-Lower-Parel/022PXX22-XX22-121126175310-L9U9_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIExvd2VyIFBhcmVs
Sat Sarkar General Store Opp Merathon Lower Parel,,,0 Votes,"Jigna App D/502 Hemant Joshi Marg, Lower Parel, Mumbai - 400013, Opp Merathon",https://www.justdial.com/Mumbai/Sat-Sarkar-General-Store-Opp-Merathon-Lower-Parel/022PXX22-XX22-180410154600-Z8J1_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIExvd2VyIFBhcmVs
Welcome Super Market Near Railway Stn Lower Parel,0.17 KM,2.3,3 Votes,"2,Jamila Bldg, J K Rd, Lower Parel, Mumbai - 400013, Near Railway Stn",https://www.justdial.com/Mumbai/Welcome-Super-Market-Near-Railway-Stn-Lower-Parel/022PXX22-XX22-140716193523-T2B4_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIExvd2VyIFBhcmVs
Ashirwad Medical General Store Opposite Lower Parel Station Lower Parel,0.3 KM,2.3,6 Votes,"Shop No 6, Shiv Smruti, N M Joshi Road and Curry Road Gip Store Lane, Lower Parel, Mumbai - 400013, Opposite Lower Parel Station",https://www.justdial.com/Mumbai/Ashirwad-Medical-General-Store-Opposite-Lower-Parel-Station-Lower-Parel/022PXX22-XX22-121030153838-A1U9_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIExvd2VyIFBhcmVs
Shree Ram Enterprises Opposite Bavla Masjid Bala Masjid Lower Parel,0.47 KM,4.0,1 Votes,"Shop No 7, Lower Parel, Mumbai - 400013, Opposite Bavla Masjid, Bala Masjid",https://www.justdial.com/Mumbai/Shree-Ram-Enterprises-Opposite-Bavla-Masjid-Bala-Masjid-Lower-Parel/022PXX22-XX22-121226160017-A2X7_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIExvd2VyIFBhcmVs
Bharat Stationery General Stores Near Piramal Tower Lower Parel,0.5 KM,4.5,2 Votes,"Shop No.01 Punawala Building No.02, Ganpatrao Kadam Marg, Lower Parel, Mumbai - 400013, Near Piramal Tower",https://www.justdial.com/Mumbai/Bharat-Stationery-General-Stores-Near-Piramal-Tower-Lower-Parel/022PXX22-XX22-140808134238-P8E4_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIExvd2VyIFBhcmVs
Navkar Medical General Stores Near Bawla Masjid Lower Parel,0.65 KM,4.4,8 Votes,"Shop No 15, Prithvi Vandan Co Operative Housing Society, N M Joshi Marg, Lower Parel, Mumbai - 400013, Near Bawla Masjid",https://www.justdial.com/Mumbai/Navkar-Medical-General-Stores-Near-Bawla-Masjid-Lower-Parel/022PXX22-XX22-090802242669-IAPP_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIExvd2VyIFBhcmVs
Food Shoppe Near Deepak Cinema Lower Parel,1.09 KM,4.5,16 Votes,"Shop No 8,Sahjeevan Chs, N M Joshi Marg, Lower Parel, Mumbai - 400013, Near Deepak Cinema",https://www.justdial.com/Mumbai/Food-Shoppe-Near-Deepak-Cinema-Lower-Parel/022PXX22-XX22-160405162311-Z5M3_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIExvd2VyIFBhcmVs
Shah Manilal Morarji Co Near Deepak Cinema Lower Parel,1.12 KM,4.5,5 Votes,"5, Vinayak Sadan, N M Joshi Marg, Lower Parel, Mumbai - 400013, Near Deepak Cinema",https://www.justdial.com/Mumbai/Shah-Manilal-Morarji-Co-Near-Deepak-Cinema-Lower-Parel/022PK051522_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIExvd2VyIFBhcmVs
Ambika Medical Store Near Narolac House Lower Parel,1.27 KM,4.2,17 Votes,"Irani Chawl, Shop No.01, Ganpatrao Kadam Marg, Lower Parel, Mumbai - 400013, Near-Narolac House",https://www.justdial.com/Mumbai/Ambika-Medical-Store-Near-Narolac-House-Lower-Parel/022PXX22-XX22-090504210922-T2A8_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIExvd2VyIFBhcmVs
Bhartiya Janta Store Opp India Bull Lower Parel,1.3 KM,,0 Votes,"Shop No:3,Shiv Parvati, N M Joshi Marg, Lower Parel, Mumbai - 400013, Opp India Bull",https://www.justdial.com/Mumbai/Bhartiya-Janta-Store-Opp-India-Bull-Lower-Parel/022PXX22-XX22-151012144702-D9S6_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIExvd2VyIFBhcmVs
Vijay Medical General Stores Near Elphinstone Station Lower Parel,1.37 KM,3.3,8 Votes,"Shop No.11, Suraj Building, Sitaram Jadhav Marg, Lower Parel, Mumbai - 400013, Near Elphinstone Station",https://www.justdial.com/Mumbai/Vijay-Medical-General-Stores-Near-Elphinstone-Station-Lower-Parel/022PXX22-XX22-111021232636-V8M2_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIExvd2VyIFBhcmVs
