Name,Distance,Rating,Votes,Address,Website
Rachana Dry Fruits Opposite Karnataka Sangh Hall Mahim,1.02 KM,4.3,22 Votes,"Shop No 2, Ajay Shopping Centre, T H Kataria Marg, Mahim, Mumbai - 400016, Opposite Karnataka Sangh Hall",https://www.justdial.com/Mumbai/Rachana-Dry-Fruits-Opposite-Karnataka-Sangh-Hall-Mahim/022P1933134_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIE1haGlt
Nilkanth Super Market Near Mahim Bus Depot Mahim,0.55 KM,4.4,8 Votes,"Shop No.12, Mori Road, Mahim, Mumbai - 400016, Near Mahim Bus Depot",https://www.justdial.com/Mumbai/Nilkanth-Super-Market-Near-Mahim-Bus-Depot-Mahim/022PXX22-XX22-131026144449-E1P4_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIE1haGlt
Amit Medical General Stores Near Raja Rani Travels and Ashray Hotel Mahim,1.33 KM,4.9,5 Votes,"Shop No 4, Plot No 211 C, Keshav Bhawan, L J Road, Mahim, Mumbai - 400016, Near Raja Rani Travels and Ashray Hotel",https://www.justdial.com/Mumbai/Amit-Medical-General-Stores-Near-Raja-Rani-Travels-and-Ashray-Hotel-Mahim/022P1980537_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIE1haGlt
Mangalore General Stores Opposite Paradise Cinema 76 Alj Road Mahim,0.25 KM,3.9,48 Votes,"Shop No 8, Mohhamad Edu Manzil, Lady Jamshedji Road, Mahim, Mumbai - 400016, Opposite Paradise Cinema ,76 Alj Road",https://www.justdial.com/Mumbai/Mangalore-General-Stores-Opposite-Paradise-Cinema-76-Alj-Road-Mahim/022P1980607_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIE1haGlt
Stop N Shop Boutique Near Victoria Church Mahim,0.62 KM,4.0,71 Votes,"4, Dimple Building, 133, L J Road, Mahim, Mumbai - 400016, Near Victoria Church",https://www.justdial.com/Mumbai/Stop-N-Shop-Boutique-Near-Victoria-Church-Mahim/022P1303708_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIE1haGlt
Sagar Toys Shop OPP CANOSSA HIGH SCHOOL Mahim,0.12 KM,4.0,2 Votes,"SHOP NO.4 ROSARY BUILDING, Mia Mohd Chhotani Road, Mahim, Mumbai - 400016, OPP CANOSSA HIGH SCHOOL",https://www.justdial.com/Mumbai/Sagar-Toys-Shop-OPP-CANOSSA-HIGH-SCHOOL-Mahim/022P1980576_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIE1haGlt
Jwell Chemist Next to Mahim Bus Depot Mahim,0.39 KM,4.2,15 Votes,"Shop No 1, Mohini Mansion, Mori Road, Mahim, Mumbai - 400016, Next to Mahim Bus Depot",https://www.justdial.com/Mumbai/Jwell-Chemist-Next-to-Mahim-Bus-Depot-Mahim/022PXX22-XX22-000197936106-S1F8_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIE1haGlt
Mahim Super Masala Near Police Chowky Mahim,0.5 KM,5.0,2 Votes,"Shop No. 3, Kapad Bazar Road, Mahim, Mumbai - 400016, Near Police Chowky",https://www.justdial.com/Mumbai/Mahim-Super-Masala-Near-Police-Chowky-Mahim/022PXX22-XX22-130223135315-R8Y8_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIE1haGlt
Vipul Chemist Near Mahim Station Mahim,1.09 KM,4.5,6 Votes,"Shop No 4, Qureshi Mahal, Mia Mohd Chhotani Road, Mahim, Mumbai - 400016, Near Mahim Station",https://www.justdial.com/Mumbai/Vipul-Chemist-Near-Mahim-Station-Mahim/022PXX22-XX22-121108170924-Q2F4_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIE1haGlt
Snow Magic Ice Cream Parlour Near Canosa Convent Mahim,0.15 KM,4.0,47 Votes,"Shop No- 2/5, Garden View Co-Operative Housing Society, MMC Road, Mahim, Mumbai - 400016, Near Canosa Convent",https://www.justdial.com/Mumbai/Snow-Magic-Ice-Cream-Parlour-Near-Canosa-Convent-Mahim/022PXX22-XX22-120629012215-Y9W9_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIE1haGlt
Hemant General Stores Mahim,0.22 KM,4.0,3 Votes,"8 Garden View Building, MMC Road, Mahim, Mumbai - 400016",https://www.justdial.com/Mumbai/Hemant-General-Stores-Mahim/022P1980777_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIE1haGlt
Metro Biscuit Stores Near indian Bank Mahim,0.24 KM,3.0,1 Votes,"Rajmahal Building,Shop No .9, M M C Road, Mahim, Mumbai - 400016, Near.indian Bank",https://www.justdial.com/Mumbai/Metro-Biscuit-Stores-Near-indian-Bank-Mahim/022PXX22-XX22-140517162733-F9B3_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIE1haGlt
Apna Stores Near Kottak Mahindra ATM Mahim,0.35 KM,4.2,16 Votes,"Navjivan Colony.shop No-14, Mori Road, Mahim, Mumbai - 400016, Near- Kottak Mahindra ATM",https://www.justdial.com/Mumbai/Apna-Stores-Near-Kottak-Mahindra-ATM-Mahim/022PXX22-XX22-131023115055-L5E1_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIE1haGlt
Bismillah Medical General Stores Near Mahim Dargah Mahim,0.38 KM,,0 Votes,"Shop No. 1, Madina Manzil, Cadel Road, Mahim, Mumbai - 400016, Near Mahim Dargah",https://www.justdial.com/Mumbai/Bismillah-Medical-General-Stores-Near-Mahim-Dargah-Mahim/022P1236183718U7T9T7_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIE1haGlt
Poorna Bramha Near Shobha Hotel Mahim,0.38 KM,,0 Votes,"L J Road, Mahim, Mumbai - 400016, Near Shobha Hotel",https://www.justdial.com/Mumbai/Poorna-Bramha-Near-Shobha-Hotel-Mahim/022PK023335_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIE1haGlt
