Name,Distance,Rating,Votes,Address,Website
Meghsons Near Junction Of S V Road Marve Road Malad West,1.04 KM,4.0,500 Votes,"Marve Road, Malad West, Mumbai - 400064, Near Junction Of S V Road & Marve Road",https://www.justdial.com/Mumbai/Meghsons-Near-Junction-Of-S-V-Road-Marve-Road-Malad-West/022PSE00219_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIE1hbGFk
Disha Traders Opposite Ambika Mata Mandir Malad East,1.5 KM,3.5,2 Votes,"Govind Nagar, Haji Bapu Road, Malad East, Mumbai - 400097, Opposite Ambika Mata Mandir",https://www.justdial.com/Mumbai/Disha-Traders-Opposite-Ambika-Mata-Mandir-Malad-East/022PXX22-XX22-190717212042-B6S1_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIE1hbGFk
Pramanik General Stores Opposite to Old Police Station Malad West,0.89 KM,3.9,54 Votes,"Shop No.11, Yojna Apartment, S V Road, Malad West, Mumbai - 400064, Opposite to Old Police Station",https://www.justdial.com/Mumbai/Pramanik-General-Stores-Opposite-to-Old-Police-Station-Malad-West/022PG024555_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIE1hbGFk
Pravin General Stores New Municipal Market Near Fish Market Malad West,1.03 KM,4.2,28 Votes,"Shop No 4, Sainath Road, Malad West, Mumbai - 400064, New Municipal Market, Near Fish Market",https://www.justdial.com/Mumbai/Pravin-General-Stores-New-Municipal-Market-Near-Fish-Market-Malad-West/022P5599002_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIE1hbGFk
Orlem Medical General Stores Near Orlem Church Malad West,0.99 KM,4.0,142 Votes,"Shop No 4, Valeram Tower, Marve Road, Malad West, Mumbai - 400064, Near Orlem Church",https://www.justdial.com/Mumbai/Orlem-Medical-General-Stores-Near-Orlem-Church-Malad-West/022P8404093_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIE1hbGFk
Raju Medical And General Store Near Dena Bank Orlem malad West,0.9 KM,4.1,119 Votes,"3 Sarda Niwas, Marve Road, Orlem-malad West, Mumbai - 400064, Near Dena Bank",https://www.justdial.com/Mumbai/Raju-Medical-And-General-Store-Near-Dena-Bank-Orlem-malad-West/022POCE0863_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIE1hbGFk
Twinkle Dry Fruits and General Store Evershine Nagar Malad West,1.03 KM,4.3,35 Votes,"Shop No. 9, Valeram Building No. 3, Malad West, Mumbai - 400064, Evershine Nagar",https://www.justdial.com/Mumbai/Twinkle-Dry-Fruits-and-General-Store-Evershine-Nagar-Malad-West/022P2400552_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIE1hbGFk
Star Home Super Market Opposite Shopping Centre Malad West,1.11 KM,3.9,289 Votes,"Malwani Muncipal, Fire Brigade, Marve Road, Malad West, Mumbai - 400095, Opposite Shopping Centre",https://www.justdial.com/Mumbai/Star-Home-Super-Market-Opposite-Shopping-Centre-Malad-West/022P8017818_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIE1hbGFk
Ganesh Medical General Store Opposite Union Bank Malad East,1.47 KM,4.4,40 Votes,"Shop No 2, Mhatre Plot, Rani Sati Marg, Malad East, Mumbai - 400097, Opposite Union Bank",https://www.justdial.com/Mumbai/Ganesh-Medical-General-Store-Opposite-Union-Bank-Malad-East/022PXX22-XX22-120409213836-N7W7_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIE1hbGFk
Shreeji Stores Near Evershine Nagar Malad West,0.88 KM,4.1,22 Votes,"Shop No.10, Navjeevan Building, Link Road, Malad West, Mumbai - 400064, Near Evershine Nagar",https://www.justdial.com/Mumbai/Shreeji-Stores-Near-Evershine-Nagar-Malad-West/022PXX22-XX22-140110152155-N4E5_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIE1hbGFk
