Name,Distance,Rating,Votes,Address,Website
K J Mart Opposite Adamji Peerbhai Market Marine Lines,0.24 KM,3.7,6 Votes,"Shop No 21, Bhiwandiwala Terrace, 2nd Dhobhighat Lane, Marine Lines, Mumbai - 400020, Opposite Adamji Peerbhai Market",https://www.justdial.com/Mumbai/K-J-Mart-Opposite-Adamji-Peerbhai-Market-Marine-Lines/022PXX22-XX22-160926130947-R1R1_BZDET?xid=TXVtYmFpIEdyb2NlcnkgU3RvcmVzIE1hcmluZSBMaW5lcw==
Sil sila a Husaini 51 M k road Marine Lines,0.09 KM,3.5,1 Votes,"Mogal House, Princess Street, Marine Lines, Mumbai - 400020, 51 M.k road",https://www.justdial.com/Mumbai/Sil-sila-a-Husaini-51-M-k-road-Marine-Lines/022PXX22-XX22-131129091125-Y4P5_BZDET?xid=TXVtYmFpIEdyb2NlcnkgU3RvcmVzIE1hcmluZSBMaW5lcw==
Tiwari General Stores Marine Lines,0.36 KM,,0 Votes,"Shop No 450, G S Road, Marine Lines, Mumbai - 400020",https://www.justdial.com/Mumbai/Tiwari-General-Stores-Marine-Lines/022PXX22-XX22-140722133611-C8T2_BZDET?xid=TXVtYmFpIEdyb2NlcnkgU3RvcmVzIE1hcmluZSBMaW5lcw==
Star Market A TATA And Tesco Enterprise Near Churchgate Railway Station Beside KC and HR Churchgate,1.72 KM,4.2,1734 Votes,"123, Mistry Bhavan, Dinshaw Vacha Road, Churchgate, Mumbai - 400020, Near Churchgate Railway Station, Beside KC and HR",https://www.justdial.com/Mumbai/Star-Market-A-TATA-And-Tesco-Enterprise-Near-Churchgate-Railway-Station-Beside-KC-and-HR-Churchgate/022PXX22-XX22-171211111839-F7T9_BZDET?xid=TXVtYmFpIEdyb2NlcnkgU3RvcmVzIE1hcmluZSBMaW5lcw==
Godrej Natures Basket Near Kc College Churchgate,1.51 KM,4.1,753 Votes,"Ground Floor, Apeejay House, 3, Dinshaw Vacha Road, Churchgate, Mumbai - 400020, Near Kc College",https://www.justdial.com/Mumbai/Godrej-Natures-Basket-Near-Kc-College-Churchgate/022PXX22-XX22-101026152238-Q8X3_BZDET?xid=TXVtYmFpIEdyb2NlcnkgU3RvcmVzIE1hcmluZSBMaW5lcw==
Patel Brothers Near yes ub academy school Marine Drive,0.35 KM,3.8,37 Votes,"Shop No 3, Badrikeshwar Building No 82, Marine Drive, Mumbai - 400020, near yes ub academy school",https://www.justdial.com/Mumbai/Patel-Brothers-Near-yes-ub-academy-school-Marine-Drive/022P1850125_BZDET?xid=TXVtYmFpIEdyb2NlcnkgU3RvcmVzIE1hcmluZSBMaW5lcw==
Fair Price Shop Opposite Samrat Hotel Churchgate,1.61 KM,4.0,71 Votes,"Shop No 4, 195, Moti Mahal, J T Road, Churchgate, Mumbai - 400020, Opposite Samrat Hotel",https://www.justdial.com/Mumbai/Fair-Price-Shop-Opposite-Samrat-Hotel-Churchgate/022P1850093_BZDET?xid=TXVtYmFpIEdyb2NlcnkgU3RvcmVzIE1hcmluZSBMaW5lcw==
Jyoti Grain Stores Bhd Satyam Collection Churchgate,1.57 KM,3.9,22 Votes,"Shop No 4 Chheda Sadan Grd Flr, J Tata Road, Churchgate, Mumbai - 400020, Bhd Satyam Collection",https://www.justdial.com/Mumbai/Jyoti-Grain-Stores-Bhd-Satyam-Collection-Churchgate/022PXX22-XX22-001078231953-O1F5_BZDET?xid=TXVtYmFpIEdyb2NlcnkgU3RvcmVzIE1hcmluZSBMaW5lcw==
Sarvodaya Stores Marine Drive,0.33 KM,3.9,61 Votes,"Shop No 1, Building No 81, Swashray, Hvb Road, Marine Drive, Mumbai - 400020",https://www.justdial.com/Mumbai/Sarvodaya-Stores-Marine-Drive/022PXX22-XX22-110329114542-M7E4_BZDET?xid=TXVtYmFpIEdyb2NlcnkgU3RvcmVzIE1hcmluZSBMaW5lcw==
Maharashtra Chana Bhandar Marine Drive,0.25 KM,,0 Votes,"Shop No 30/32, Batliwala Chawl, Shreekant Palekar Marg, Marine Drive, Mumbai - 400020",https://www.justdial.com/Mumbai/Maharashtra-Chana-Bhandar-Marine-Drive/022PXX22-XX22-150717160008-T7R1_BZDET?xid=TXVtYmFpIEdyb2NlcnkgU3RvcmVzIE1hcmluZSBMaW5lcw==
