Name,Distance,Rating,Votes,Address,Website
Balaji Medicare Opposite S K Stone Mira Road,0.92 KM,4.5,2 Votes,"Shop No-9, Arena Building No-2, Poonam Garden, Mira Bhayandar Road, Mira Road, Thane - 401107, Opposite S. K. Stone",https://www.justdial.com/Mumbai/Balaji-Medicare-Opposite-S-K-Stone-Mira-Road/022PXX22-XX22-111231191101-Y2P6_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIE1pcmEgQmhheWFuZGFyIFJvYWQgTWlyYSBSb2Fk
Monica General Store Near Poonam Garden Mira Road,1.54 KM,,0 Votes,"Shop No-02,MIG Complex, Mira Bhayandar Road, Mira Road, Thane - 401107, Near Poonam Garden",https://www.justdial.com/Mumbai/Monica-General-Store-Near-Poonam-Garden-Mira-Road/022PXX22-XX22-160723103509-A1G2_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIE1pcmEgQmhheWFuZGFyIFJvYWQgTWlyYSBSb2Fk
Lucky Bakery And General Store Rani Shankar Hospital Diabetic Centre Mira Road,0.12 KM,3.5,1 Votes,"Shop no-B/4, Govind Nagar CHS ltd, Mira Bhayandar Road, Mira Road, Thane - 401107, Rani Shankar Hospital & Diabetic Centre",https://www.justdial.com/Mumbai/Lucky-Bakery-And-General-Store-Rani-Shankar-Hospital-Diabetic-Centre-Mira-Road/022PXX22-XX22-160607183220-Q1C9_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIE1pcmEgQmhheWFuZGFyIFJvYWQgTWlyYSBSb2Fk
Sumgam Super Market Near Mira Bhayandar Road Mira Road,0.13 KM,,0 Votes,"Shop No.3,NG Estate Co Operative Housing Society, Old Petrol Pump, Mira Road, Thane - 401107, Near Mira Bhayandar Road",https://www.justdial.com/Mumbai/Sumgam-Super-Market-Near-Mira-Bhayandar-Road-Mira-Road/022PXX22-XX22-130312165002-Q7C8_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIE1pcmEgQmhheWFuZGFyIFJvYWQgTWlyYSBSb2Fk
Sangam Super Market Near Vodafone Gallary Mira Road,0.14 KM,4.5,3 Votes,"Shop No 3, N G Estate, Mira Bhayandar Road, Mira Road, Thane - 401107, Near Vodafone Gallary",https://www.justdial.com/Mumbai/Sangam-Super-Market-Near-Vodafone-Gallary-Mira-Road/022PXX22-XX22-130718165445-J6E8_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIE1pcmEgQmhheWFuZGFyIFJvYWQgTWlyYSBSb2Fk
Shahil Bakery General Store Opp Old Petrol Pump Mira Road,0.19 KM,,0 Votes,"Shop No.A-1.Ostwal Kiran Apt., Mira Bhayandar Road, Mira Road, Thane - 401107, Opp Old Petrol Pump",https://www.justdial.com/Mumbai/Shahil-Bakery-General-Store-Opp-Old-Petrol-Pump-Mira-Road/022PXX22-XX22-140325162341-R4R7_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIE1pcmEgQmhheWFuZGFyIFJvYWQgTWlyYSBSb2Fk
Jai Yogeshwar Provision And General Store Opp Shivar Garden Next To SVP School Mira Road,0.22 KM,,0 Votes,"Shop No-2, Sai Ratna Building, Mira Bhayandar Road, Mira Road, Thane - 401107, Opp. Shivar Garden, Next To SVP School",https://www.justdial.com/Mumbai/Jai-Yogeshwar-Provision-And-General-Store-Opp-Shivar-Garden-Next-To-SVP-School-Mira-Road/022PXX22-XX22-161107184029-K8T5_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIE1pcmEgQmhheWFuZGFyIFJvYWQgTWlyYSBSb2Fk
S K General Store Opp shivar Garden Mira Road,0.26 KM,,0 Votes,"Mira Bhayandar Road,, Mira Road, Thane - 401107, Opp.shivar Garden",https://www.justdial.com/Mumbai/S-K-General-Store-Opp-shivar-Garden-Mira-Road/022PXX22-XX22-110101192954-X1R8_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIE1pcmEgQmhheWFuZGFyIFJvYWQgTWlyYSBSb2Fk
Royal General Stores Behind Old Petrol Pump Geeta Nagar Phase 2 Mira Road,0.29 KM,,0 Votes,"Shop No 2, New Satyam Tower Building, Mira Bhayandar Road, Mira Road, Thane - 401107, Behind Old Petrol Pump, Geeta Nagar Phase 2",https://www.justdial.com/Mumbai/Royal-General-Stores-Behind-Old-Petrol-Pump-Geeta-Nagar-Phase-2-Mira-Road/022PXX22-XX22-190604190009-R6X7_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIE1pcmEgQmhheWFuZGFyIFJvYWQgTWlyYSBSb2Fk
Sagar Kirana Store Near Anthapura Lodge Mira Road,0.42 KM,,0 Votes,"Shop No.A-13, Bharti Park, Mira Bhayandar Road, Mira Road, Thane - 401107, Near-Anthapura Lodge",https://www.justdial.com/Mumbai/Sagar-Kirana-Store-Near-Anthapura-Lodge-Mira-Road/022PXX22-XX22-130111140741-Q4T1_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIE1pcmEgQmhheWFuZGFyIFJvYWQgTWlyYSBSb2Fk
