Name,Distance,Rating,Votes,Address,Website
Joshi Super Mart,,5.0,3 Votes,"Shop No 1,2,3, Sai Velocity Phase, 2, Pune, Paud Road, Mumbai - 400021",https://www.justdial.com/Mumbai/Joshi-Super-Mart/022PXX22-XX22-191116092255-X7G7_BZDET?xid=TXVtYmFpIEdyb2NlcnkgU3RvcmVzIE5hcmltYW4gUG9pbnQ=
Star Market A TATA And Tesco Enterprise Near Churchgate Railway Station Beside KC and HR Churchgate,0.5 KM,4.2,1734 Votes,"123, Mistry Bhavan, Dinshaw Vacha Road, Churchgate, Mumbai - 400020, Near Churchgate Railway Station, Beside KC and HR",https://www.justdial.com/Mumbai/Star-Market-A-TATA-And-Tesco-Enterprise-Near-Churchgate-Railway-Station-Beside-KC-and-HR-Churchgate/022PXX22-XX22-171211111839-F7T9_BZDET?xid=TXVtYmFpIEdyb2NlcnkgU3RvcmVzIE5hcmltYW4gUG9pbnQ=
Sahakari Bhandar Opposite to GPO Near Bus Depot Next to Sassoon Dock Colaba,1.63 KM,3.9,1532 Votes,"Shop No 21, Colaba Chamber, Shahid Bhagat Singh Marg, Colaba, Mumbai - 400005, Opposite to GPO, Near Bus Depot, Next to Sassoon Dock",https://www.justdial.com/Mumbai/Sahakari-Bhandar-Opposite-to-GPO-Near-Bus-Depot-Next-to-Sassoon-Dock-Colaba/022P4001125_BZDET?xid=TXVtYmFpIEdyb2NlcnkgU3RvcmVzIE5hcmltYW4gUG9pbnQ=
Godrej Natures Basket Near Kc College Churchgate,0.66 KM,4.1,753 Votes,"Ground Floor, Apeejay House, 3, Dinshaw Vacha Road, Churchgate, Mumbai - 400020, Near Kc College",https://www.justdial.com/Mumbai/Godrej-Natures-Basket-Near-Kc-College-Churchgate/022PXX22-XX22-101026152238-Q8X3_BZDET?xid=TXVtYmFpIEdyb2NlcnkgU3RvcmVzIE5hcmltYW4gUG9pbnQ=
Godrej Natures Basket Opposite IDBI Bank Cuffe Parade colaba,1.47 KM,4.1,715 Votes,"Plot No 30 A, Ground Floor, Shopping Arcade, World Trade Center, JD Somani Road, Cuffe Parade-colaba, Mumbai - 400005, Opposite IDBI Bank",https://www.justdial.com/Mumbai/Godrej-Natures-Basket-Opposite-IDBI-Bank-Cuffe-Parade-colaba/022P8012353_BZDET?xid=TXVtYmFpIEdyb2NlcnkgU3RvcmVzIE5hcmltYW4gUG9pbnQ=
King Plaza Supermarket Medical Near World Trade Center Cuffe Parade colaba,1.3 KM,4.0,188 Votes,"Shop No F/3, Maker Arcade Shopping Centre, Gs Somani Marg, Cuffe Parade-colaba, Mumbai - 400005, Near World Trade Center",https://www.justdial.com/Mumbai/King-Plaza-Supermarket-Medical-Near-World-Trade-Center-Cuffe-Parade-colaba/022PXX22-XX22-000848274093-B2T2_BZDET?xid=TXVtYmFpIEdyb2NlcnkgU3RvcmVzIE5hcmltYW4gUG9pbnQ=
Shiv Plaza Super Market Opposite HDFC Bank Colaba,1.31 KM,4.1,163 Votes,"Shop No 1/2 Arsiwala Building,59/61, Wode House Road, Colaba, Mumbai - 400005, Opposite HDFC Bank",https://www.justdial.com/Mumbai/Shiv-Plaza-Super-Market-Opposite-HDFC-Bank-Colaba/022PXX22-XX22-170228163739-F5K1_BZDET?xid=TXVtYmFpIEdyb2NlcnkgU3RvcmVzIE5hcmltYW4gUG9pbnQ=
Students General Stores Cuffe Parade colaba,1.28 KM,4.2,155 Votes,"625, G D Somani Memorial School, Cuffe Parade-colaba, Mumbai - 400005",https://www.justdial.com/Mumbai/Students-General-Stores-Cuffe-Parade-colaba/022P603052_BZDET?xid=TXVtYmFpIEdyb2NlcnkgU3RvcmVzIE5hcmltYW4gUG9pbnQ=
Janta Super Market Colaba Market Colaba,1.23 KM,4.8,9 Votes,"Shop No 03, Colaba Mansion, Lala Nigam Road, Colaba, Mumbai - 400005, Colaba Market",https://www.justdial.com/Mumbai/Janta-Super-Market-Colaba-Market-Colaba/022PXX22-XX22-150220181011-E9N3_BZDET?xid=TXVtYmFpIEdyb2NlcnkgU3RvcmVzIE5hcmltYW4gUG9pbnQ=
Welcome Stores Opposite Indu Clinic Colaba,1.27 KM,3.9,59 Votes,"Shop No 9, New 57/A, Arsiwala Building, Wodehouse Road, Colaba, Mumbai - 400005, Opposite Indu Clinic",https://www.justdial.com/Mumbai/Welcome-Stores-Opposite-Indu-Clinic-Colaba/022PXX22-XX22-100512172447-B1T6_BZDET?xid=TXVtYmFpIEdyb2NlcnkgU3RvcmVzIE5hcmltYW4gUG9pbnQ=
