Name,Distance,Rating,Votes,Address,Website
Jai Maharashtra Super Market Near Abhudiya Coprative Bank Parel,1.09 KM,3.8,12 Votes,"Patel Wadi Shope No.15/16, Parel Village, Parel, Mumbai - 400012, Near Abhudiya Coprative Bank",https://www.justdial.com/Mumbai/Jai-Maharashtra-Super-Market-Near-Abhudiya-Coprative-Bank-Parel/022PXX22-XX22-180702162020-T5R1_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIFBhcmVs
Shivam Super Bazar Gaourishankar Mithaiwala Parel,1.75 KM,3.8,12 Votes,"1, Poonawala Building, Jagannath Bhatankar Marg, Parel, Mumbai - 400012, Gaourishankar Mithaiwala",https://www.justdial.com/Mumbai/Shivam-Super-Bazar-Gaourishankar-Mithaiwala-Parel/022P8127638_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIFBhcmVs
Shraddha Medical General Store Behind Kem Hospital Gate No 07 Opposite Guru Rani Chowk Parel,1.08 KM,4.3,16 Votes,"649, S P Compound, Dr S S Rao Road, Parel, Mumbai - 400012, Behind Kem Hospital Gate No 07, Opposite Guru Rani Chowk",https://www.justdial.com/Mumbai/Shraddha-Medical-General-Store-Behind-Kem-Hospital-Gate-No-07-Opposite-Guru-Rani-Chowk-Parel/022PXX22-XX22-150217162445-I3D7_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIFBhcmVs
Hariya Store Parel,0.52 KM,,0 Votes,"Best Staff Quarters, M/8, Sai Baba Road, Parel, Mumbai - 400012",https://www.justdial.com/Mumbai/Hariya-Store-Parel/022PXX22-XX22-190312211442-L4A2_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIFBhcmVs
Kavita Medical General Stores Opp Nadkarni Hospital Parel,1.31 KM,4.1,7 Votes,"10 B, Nirmala Niwas, Aai MAI Merwanji Lane, Parel, Mumbai - 400012, Opp Nadkarni Hospital",https://www.justdial.com/Mumbai/Kavita-Medical-General-Stores-Opp-Nadkarni-Hospital-Parel/022P1237474357F3S4J6_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIFBhcmVs
Shree Nandi Oil Centre Near Damodar Hall Parel,1.31 KM,3.9,5 Votes,"Mankeshwar Building No 2, Dr Ambedkar Road, Parel, Mumbai - 400012, Near Damodar Hall",https://www.justdial.com/Mumbai/Shree-Nandi-Oil-Centre-Near-Damodar-Hall-Parel/022PXX22-XX22-120208015613-T4I3_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIFBhcmVs
Janta super market Near p g a jewellers Parel,1.62 KM,,0 Votes,"Shop no 1 Parel mansion, Acharya Donge Marg, Parel, Mumbai - 400012, Near p g a jewellers",https://www.justdial.com/Mumbai/Janta-super-market-Near-p-g-a-jewellers-Parel/022PXX22-XX22-160506170432-Z6D8_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIFBhcmVs
Vikas General Store Parel,,,0 Votes,"Shop No 5 Kalewadi, Tank Road G D Ambedkar Road, Parel, Mumbai - 400012",https://www.justdial.com/Mumbai/Vikas-General-Store-Parel/022P1236406496U2G1Z4_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIFBhcmVs
Aasim Tobacco And General Stores Parel,,3.0,1 Votes,"Maruti Mandir Shop #2 Cinch Pokdi Marg Parel, Parel, Mumbai - 400012",https://www.justdial.com/Mumbai/Aasim-Tobacco-And-General-Stores-Parel/022PXX22-XX22-101022164448-G5Y4_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIFBhcmVs
Omkar Pooja General Stores Parel,,,0 Votes,"Sattar Terrace, 27/27, E, King Edward Memorial Road, Acharya Dade Marg, Parel, Mumbai - 400012",https://www.justdial.com/Mumbai/Omkar-Pooja-General-Stores-Parel/022PXX22-XX22-121106230111-X1H5_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIFBhcmVs
Satish Kirana Provision General Stores Parel,,,0 Votes,"Bharat Bhavan Building,Shop 35, Rambhau Bhogle Marg,Ferbunder,Tank Road, Parel, Mumbai - 400012",https://www.justdial.com/Mumbai/Satish-Kirana-Provision-General-Stores-Parel/022PXX22-XX22-140608214946-N2F3_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIFBhcmVs
Bhagwat Kirana Shop Parel,,,0 Votes,"B.A. Road, Near Lalbhag Main Road, Parel, Mumbai, Parel, Mumbai - 400012",https://www.justdial.com/Mumbai/Bhagwat-Kirana-Shop-Parel/022PXX22-XX22-140608220344-F3Z4_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIFBhcmVs
Sunil Kirana Shop Parel,,,0 Votes,"Kombat Buzai, Near Hanuman Mandir, Panvel, Mumbai, Parel, Mumbai - 400012",https://www.justdial.com/Mumbai/Sunil-Kirana-Shop-Parel/022PXX22-XX22-140608223702-B4Z8_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIFBhcmVs
Sheetal General Store Near Indian Cancer Society Parel,,,0 Votes,"Bhim Nagar Chawl, Jerbai Wadia Road, Bhoiwada, Parel, Mumbai - 400012, Near Indian Cancer Society",https://www.justdial.com/Mumbai/Sheetal-General-Store-Near-Indian-Cancer-Society-Parel/022PXX22-XX22-171118124011-G1G9_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIFBhcmVs
Gupta Grain Store Near Suntower Building Parel,,,0 Votes,"Shivsena Kutir Chawl, Shop No 162/10, Jerbai Wadia Road, Bhoiwada, Parel, Mumbai - 400012, Near Suntower Building",https://www.justdial.com/Mumbai/Gupta-Grain-Store-Near-Suntower-Building-Parel/022PXX22-XX22-171118130003-T3B7_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIFBhcmVs
Purohit General Store Near Sai Baba Mandir Parel,,,0 Votes,"Shop No B/10, Khaparidev Society, G D Ambekar Road, Parmanand Wadi, Parel, Mumbai - 400012, Near Sai Baba Mandir",https://www.justdial.com/Mumbai/Purohit-General-Store-Near-Sai-Baba-Mandir-Parel/022PXX22-XX22-171123135019-V3E1_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIFBhcmVs
