Name,Distance,Rating,Votes,Address,Website
Cheap Best NEAR NATURAL ICE CREAN Powai,1.25 KM,4.3,6 Votes,"EDEN 2, Adi Shankaracharya Road, Powai, Mumbai - 400076, NEAR NATURAL ICE CREAN",https://www.justdial.com/Mumbai/Cheap-Best-NEAR-NATURAL-ICE-CREAN-Powai/022PXX22-XX22-190111181013-R7D6_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIFBvd2Fp
Super Janta Store OppositeVijay Vihar Building Hiranandani powai,1.03 KM,4.1,10 Votes,"Shop No 48 Prathmesh Galaxy, Hiranandani-powai, Mumbai - 400076, OppositeVijay Vihar Building",https://www.justdial.com/Mumbai/Super-Janta-Store-OppositeVijay-Vihar-Building-Hiranandani-powai/022PXX22-XX22-190102115401-T1F5_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIFBvd2Fp
Mamaji Medical General Store Near Hirananadani Gardens Powai,1.16 KM,4.1,157 Votes,"Shop No 22, Galleria, Central Avenue Road, Powai, Mumbai - 400076, Near Hirananadani Gardens",https://www.justdial.com/Mumbai/Mamaji-Medical-General-Store-Near-Hirananadani-Gardens-Powai/022PXX22-XX22-110912161739-A8H7_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIFBvd2Fp
Ashwin Medical And General Store Near Hiranandani Garden Near S M Shetty College Powai,1.37 KM,4.0,58 Votes,"Shop No 10, Daffodil Building, Central Avenue Road, Powai, Mumbai - 400076, Near Hiranandani Garden, Near S M Shetty College",https://www.justdial.com/Mumbai/Ashwin-Medical-And-General-Store-Near-Hiranandani-Garden-Near-S-M-Shetty-College-Powai/022PXX22-XX22-101114130325-D8C2_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIFBvd2Fp
Supreme Medical General Store Hiranandani Gardens Powai,1.36 KM,4.0,180 Votes,"Shop No 3, Cypres Building, Central Avenue Road, Powai, Mumbai - 400076, Hiranandani Gardens",https://www.justdial.com/Mumbai/Supreme-Medical-General-Store-Hiranandani-Gardens-Powai/022P5499231_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIFBvd2Fp
Mamajis Medical General Store Near Lake Home And HDFC Bank Powai,1.51 KM,4.1,74 Votes,"Shop No 21, C Wing, Lake Primrose, Phase 4, Chandivali Farm Road, Powai, Mumbai - 400076, Near Lake Home And HDFC Bank",https://www.justdial.com/Mumbai/Mamajis-Medical-General-Store-Near-Lake-Home-And-HDFC-Bank-Powai/022PXX22-XX22-140731230852-Y9N5_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIFBvd2Fp
Apna Ghar General Store Hiranandani Powai,1.14 KM,3.5,6 Votes,"Shop No 50, Galleria Mall, Powai, Mumbai - 400076, Hiranandani",https://www.justdial.com/Mumbai/Apna-Ghar-General-Store-Hiranandani-Powai/022PXX22-XX22-130227143400-B6L3_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIFBvd2Fp
Inna Medical General Store Opposite L T Gate No 7 Powai,1.48 KM,4.2,13 Votes,"Shop No 10, Tristar Co Operative Housing Society, Shristi Complex, Saki Vihar Road, Powai, Mumbai - 400076, Opposite L T Gate No 7,",https://www.justdial.com/Mumbai/Inna-Medical-General-Store-Opposite-L-T-Gate-No-7-Powai/022PXX22-XX22-140912122618-Q1I6_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIFBvd2Fp
Reliance General Stores IIT Powai Hiranandani Garden Powai,1.36 KM,3.9,67 Votes,"Shop No 6, Cypress Building, Powai, Mumbai - 400076, IIT Powai, Hiranandani Garden",https://www.justdial.com/Mumbai/Reliance-General-Stores-IIT-Powai-Hiranandani-Garden-Powai/022PXX22-XX22-110328163518-F6Q2_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIFBvd2Fp
Vinayak Kirana General Store Opposite Tunga Village Powai,,5.0,1 Votes,"Karuna Nagar pipeline, Sakivihar Road, Powai, Mumbai - 400076, Opposite Tunga Village",https://www.justdial.com/Mumbai/Vinayak-Kirana-General-Store-Opposite-Tunga-Village-Powai/022PXX22-XX22-150904100003-I3J2_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIFBvd2Fp
In Time General Store Near S N Shetty School Powai,1.35 KM,3.5,11 Votes,"Shop No 13, Panchavati Building, Chandivali Farm Road, Powai, Mumbai - 400076, Near S N Shetty School",https://www.justdial.com/Mumbai/In-Time-General-Store-Near-S-N-Shetty-School-Powai/022PXX22-XX22-091003105401-S3I3_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIFBvd2Fp
Sky Food Basket Opp Booker Store Powai,1.52 KM,3.3,2 Votes,"C 15, Lake Prime Rose CHS Ltd,, Adi Shankaracharya Road-Powai, Powai, Mumbai - 400076, Opp Booker Store",https://www.justdial.com/Mumbai/Sky-Food-Basket-Opp-Booker-Store-Powai/022PXX22-XX22-200704204806-I5P9_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIFBvd2Fp
Ma Laxmi General Stores IIT Market Powai,1.63 KM,,0 Votes,"Powai, Mumbai - 400076, IIT Market",https://www.justdial.com/Mumbai/Ma-Laxmi-General-Stores-IIT-Market-Powai/022PXX22-XX22-130306134528-B6X2_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIFBvd2Fp
Maharashtra Kirana Bhandar IIT Market Powai Powai,1.66 KM,4.0,1 Votes,"Shop No 1, Dr Datta Samant Bungalow, Harekrishna Road, Powai, Mumbai - 400076, IIT Market Powai",https://www.justdial.com/Mumbai/Maharashtra-Kirana-Bhandar-IIT-Market-Powai-Powai/022PXX22-XX22-101031174238-Z3G9_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIFBvd2Fp
Gulabji Shankarji Kirana And General Stores Tunga Gaon Powai,1.99 KM,3.0,1 Votes,"Rathode Chawl,, Saki Vihar Road, Powai, Mumbai - 400076, Tunga Gaon",https://www.justdial.com/Mumbai/Gulabji-Shankarji-Kirana-And-General-Stores-Tunga-Gaon-Powai/022PXX22-XX22-110330113303-P4P5_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIFBvd2Fp
Bismilla Bakery General Store Near Larson Tubro Powai,,,0 Votes,"Shop No 8, Maharashtra Building No 11, Jogeshwari Vikroli Link Road, Milind Nagar, Powai, Mumbai - 400076, Near Larson & Tubro",https://www.justdial.com/Mumbai/Bismilla-Bakery-General-Store-Near-Larson-Tubro-Powai/022PXX22-XX22-180102135012-H5J5_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIFBvd2Fp
Jay Jalaram Kirana Store Near Larson Tubro Powai,,,0 Votes,"Shop No 4, Mmrda Building No 12, Jogeshwari Vikroli Link Road, Milind Nagar, Powai, Mumbai - 400076, Near Larson & Tubro",https://www.justdial.com/Mumbai/Jay-Jalaram-Kirana-Store-Near-Larson-Tubro-Powai/022PXX22-XX22-180102140011-S6S5_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIFBvd2Fp
Khushboo Kirana Stores Near Shankar Mandir Swami Narayan Nagar Powai,,,0 Votes,"Thakur Chawl, Vikhroli Hiranandani Link Road, Powai, Mumbai - 400076, Near Shankar Mandir, Swami Narayan Nagar",https://www.justdial.com/Mumbai/Khushboo-Kirana-Stores-Near-Shankar-Mandir-Swami-Narayan-Nagar-Powai/022PXX22-XX22-180419231016-Y3Q1_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIFBvd2Fp
Maharashtra Genreal Store Powai,0.73 KM,,0 Votes,"Shop No 7 Friends Chs Shri Ganesh Nagar Punch Kutir Powai, Powai, Mumbai - 400076",https://www.justdial.com/Mumbai/Maharashtra-Genreal-Store-Powai/022PXX22-XX22-181221135341-C3R9_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIFBvd2Fp
Shivam Grain Stores Near Ganesh Mandir Powai,0.75 KM,4.2,7 Votes,"Shop No-8, Friends Co...Op Society, Shri Ganesh Nagar,Panch kutir, Powai, Mumbai - 400076, Near Ganesh Mandir",https://www.justdial.com/Mumbai/Shivam-Grain-Stores-Near-Ganesh-Mandir-Powai/022PXX22-XX22-130307152016-L2N4_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIFBvd2Fp
Satay general store Opp Tample Powai Garden Powai,0.75 KM,,0 Votes,"Pune Street, Powai Garden-Powai, Mumbai - 400076, Opp Tample",https://www.justdial.com/Mumbai/Satay-general-store-Opp-Tample-Powai-Garden-Powai/022PXX22-XX22-130704195531-L3Y2_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIFBvd2Fp
Mahesh pan bidi general store Opp powai garden Powai Garden Powai,0.88 KM,,0 Votes,"Shop no.1, Saki Vihar Road, Powai Garden-Powai, Mumbai - 400076, Opp powai garden",https://www.justdial.com/Mumbai/Mahesh-pan-bidi-general-store-Opp-powai-garden-Powai-Garden-Powai/022PXX22-XX22-130529141112-X1B4_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIFBvd2Fp
Disha Stationery Near Iit Area Powai,0.94 KM,4.4,20 Votes,"Students' Residential Zone, Powai, Mumbai - 400076, Near Iit Area",https://www.justdial.com/Mumbai/Disha-Stationery-Near-Iit-Area-Powai/022PXX22-XX22-180411173538-H9U2_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIFBvd2Fp
Aaijee Super Market Near Powai Police Station Powai,0.97 KM,3.9,8 Votes,"Shop No B-3, Rambaug Road, Powai, Mumbai - 400076, Near Powai Police Station",https://www.justdial.com/Mumbai/Aaijee-Super-Market-Near-Powai-Police-Station-Powai/022PXX22-XX22-130701120213-E6R7_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIFBvd2Fp
Pooja Grain Store IIT Market Powai,0.99 KM,,0 Votes,"Shop No.3, Padmavati Road, Powai, Mumbai - 400076, IIT Market",https://www.justdial.com/Mumbai/Pooja-Grain-Store-IIT-Market-Powai/022PXX22-XX22-130308134804-U6W8_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIFBvd2Fp
Paradise Bakery Stores Opposite Amrut Bar Nitie,1 KM,5.0,3 Votes,"Shop No 4, Sitaram Yadav Chwl, Paspoli Gaon, NITIE, Powai, Nitie, Mumbai - 400087, Opposite Amrut Bar",https://www.justdial.com/Mumbai/Paradise-Bakery-Stores-Opposite-Amrut-Bar-Nitie/022PXX22-XX22-180618234710-V7U3_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIFBvd2Fp
Sainath General Store Near Gaondevi Mandir Nitie,1.02 KM,,0 Votes,"Shop No 4, Patil Chawl, Vihar Lake Road, Powai, Nitie, Mumbai - 400087, Near Gaondevi Mandir",https://www.justdial.com/Mumbai/Sainath-General-Store-Near-Gaondevi-Mandir-Nitie/022PXX22-XX22-180112130042-V5H1_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIFBvd2Fp
Pooja General Store Near Gaondevi Mandir Nitie,1.02 KM,,0 Votes,"Shop No 6, Patil Chawl, Saki Vihar Road, Paspoli Village, Powai, Nitie, Mumbai - 400087, Near Gaondevi Mandir",https://www.justdial.com/Mumbai/Pooja-General-Store-Near-Gaondevi-Mandir-Nitie/022PXX22-XX22-180112130047-M8E4_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIFBvd2Fp
