Name,Distance,Rating,Votes,Address,Website
Earth Nine Ridhi Sidhi Chemists Near Siddhi Vinayak Temple Prabhadevi,0.33 KM,4.1,69 Votes,"Shop No 9, Manoj Co Operative Housing Soceity, A Wing, Shankar Ghanekar Marg, Prabhadevi, Mumbai - 400025, Near Siddhi Vinayak Temple",https://www.justdial.com/Mumbai/Earth-Nine-Ridhi-Sidhi-Chemists-Near-Siddhi-Vinayak-Temple-Prabhadevi/022PF018064_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIFByYWJoYWRldmk=
Good Morning Store Near Dainik Samna Press Sumer Trinity Vertical Prabhadevi,0.37 KM,4.1,43 Votes,"Shop No 7 and 8, Sarvodaya Building, New Prabhadevi Road, Prabhadevi, Mumbai - 400025, Near Dainik Samna Press & Sumer Trinity Vertical",https://www.justdial.com/Mumbai/Good-Morning-Store-Near-Dainik-Samna-Press-Sumer-Trinity-Vertical-Prabhadevi/022PXX22-XX22-100225183926-R9F9_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIFByYWJoYWRldmk=
Siddhivinayak Medical General Store Near Siddhivinayak Health Care Prabhadevi,0.2 KM,4.0,3 Votes,"8/A, Om Chintamani CHS, K G Marg, Prabhadevi, Mumbai - 400025, Near Siddhivinayak Health Care",https://www.justdial.com/Mumbai/Siddhivinayak-Medical-General-Store-Near-Siddhivinayak-Health-Care-Prabhadevi/022PXX22-XX22-180317153853-B3R4_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIFByYWJoYWRldmk=
Anagha Medical General Store Near Prabhadevi Temple Near Skoda Showroom Marathi Udyog Bhavan Prabhadevi,0.57 KM,4.2,43 Votes,"Shop No 4, Krypton Tower, Prabhadevi Road, Prabhadevi, Mumbai - 400025, Near Prabhadevi Temple, Near Skoda Showroom,Marathi Udyog Bhavan",https://www.justdial.com/Mumbai/Anagha-Medical-General-Store-Near-Prabhadevi-Temple-Near-Skoda-Showroom-Marathi-Udyog-Bhavan-Prabhadevi/022PXX22-XX22-130119095101-M2G4_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIFByYWJoYWRldmk=
National Chemist Medical General Store Opposite Darbar Hotel Prabhadevi,0.22 KM,3.8,18 Votes,"Shop No.6, Laxmi Narayan Co Operative Housing Society, Sayani Road, Prabhadevi, Mumbai - 400025, Opposite Darbar Hotel",https://www.justdial.com/Mumbai/National-Chemist-Medical-General-Store-Opposite-Darbar-Hotel-Prabhadevi/022PXX22-XX22-121123163956-P5G5_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIFByYWJoYWRldmk=
Manish Supermarket Near Samna Press Prabhadevi,0.37 KM,4.0,31 Votes,"Shop.no1,2,Suryoday Society, New Prabhadevi Rd, Prabhadevi, Mumbai - 400025, Near Samna Press",https://www.justdial.com/Mumbai/Manish-Supermarket-Near-Samna-Press-Prabhadevi/022PXX22-XX22-160222220730-R3N7_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIFByYWJoYWRldmk=
Shree Siddhanath Medical General Store Near Prabhadevi Road MMRDA Colony Prabhadevi,1.07 KM,4.8,30 Votes,"Shop No 8, Sukhsagar Co-operative Society, Rajabhau Desai Marg, Prabhadevi, Mumbai - 400025, Near Prabhadevi Road & MMRDA Colony",https://www.justdial.com/Mumbai/Shree-Siddhanath-Medical-General-Store-Near-Prabhadevi-Road-MMRDA-Colony-Prabhadevi/022PXX22-XX22-130823133650-M9V5_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIFByYWJoYWRldmk=
Shree Siddhivinayak Chemist General Stores Near Nagusayji Wadi Opposite Samna Press Prabhadevi,0.42 KM,3.9,16 Votes,"Shop No 38-A, New Prabhadevi Road, Prabhadevi, Mumbai - 400025, Near Nagusayji Wadi, Opposite Samna Press",https://www.justdial.com/Mumbai/Shree-Siddhivinayak-Chemist-General-Stores-Near-Nagusayji-Wadi-Opposite-Samna-Press-Prabhadevi/022P1219815241L9P2X3_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIFByYWJoYWRldmk=
Shree vidya vansi tiwari brothers Near motilal oswal building Prabhadevi,0.43 KM,,0 Votes,"shop no 1-2 adanawala chawl, s.l.matarwala marg, Prabhadevi, Mumbai - 400013, near motilal oswal building",https://www.justdial.com/Mumbai/Shree-vidya-vansi-tiwari-brothers-Near-motilal-oswal-building-Prabhadevi/022PXX22-XX22-140725111638-I6K7_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIFByYWJoYWRldmk=
Janta Kiran Stores Near Nagusayachi Wadi Prabhadevi,,,0 Votes,"Sunderlal Patra Chawl, Shop No 2 9892355158, New Prabhadevi Road, Prabhadevi, Mumbai - 400025, Near Nagusayachi Wadi",https://www.justdial.com/Mumbai/Janta-Kiran-Stores-Near-Nagusayachi-Wadi-Prabhadevi/022PXX22-XX22-171009163043-M8N2_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIFByYWJoYWRldmk=
Ashok Grain And General Stores Deepak cinema Prabhadevi,0.79 KM,4.0,3 Votes,"46/48, Wadachi Chawl, Shop No 9, N M Joshi Marg, N.M.Joshi marg, Prabhadevi, Mumbai - 400013, Deepak cinema",https://www.justdial.com/Mumbai/Ashok-Grain-And-General-Stores-Deepak-cinema-Prabhadevi/022PXX22-XX22-131224130226-G2Q5_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIFByYWJoYWRldmk=
Anusaya General Store Prabhadevi,0.11 KM,,0 Votes,"Samarth Krupa Building, Sayani Road, Prabhadevi, Mumbai - 400025",https://www.justdial.com/Mumbai/Anusaya-General-Store-Prabhadevi/022PXX22-XX22-120306040537-S4V9_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIFByYWJoYWRldmk=
Shree Sai Siddhesh Store Near St Depot Prabhadevi,,,0 Votes,"Sayani Road, Prabhadevi, Mumbai - 400025, Near St Depot",https://www.justdial.com/Mumbai/Shree-Sai-Siddhesh-Store-Near-St-Depot-Prabhadevi/022PXX22-XX22-190729102647-R6N4_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIFByYWJoYWRldmk=
Parul Stores Opp S T Stand Prabhadevi,0.19 KM,,0 Votes,"Shop no 9, Parekh bldg, Sayani Road, Prabhadevi, Mumbai - 400013, Opp S T Stand",https://www.justdial.com/Mumbai/Parul-Stores-Opp-S-T-Stand-Prabhadevi/022PXX22-XX22-150219135435-X4K7_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIFByYWJoYWRldmk=
Varadvinayak Enterprises Khedgulli Prabhadevi,0.19 KM,3.5,1 Votes,"4,Mauji mansion, Sayani Road, Prabhadevi, Mumbai - 400025, Khedgulli",https://www.justdial.com/Mumbai/Varadvinayak-Enterprises-Khedgulli-Prabhadevi/022PXX22-XX22-161006143544-M2H8_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIFByYWJoYWRldmk=
Shri Siddhivinayak Icecream And General Store Prabhadevi,0.19 KM,5.0,2 Votes,"Shop No.6, Shree Sai Vismai, Sitharam Seth, Chavan Marg, Khed Galli, Babasaheb Ambedkar Nagar, Prabhadevi, Mumbai - 400025",https://www.justdial.com/Mumbai/Shri-Siddhivinayak-Icecream-And-General-Store-Prabhadevi/022PXX22-XX22-180328072116-N2P3_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIFByYWJoYWRldmk=
Anish Novelty General Stores Prabhadevi,0.2 KM,,0 Votes,"Shop 5 Nandanvan Building, K G Marg, Prabhadevi, Mumbai - 400025",https://www.justdial.com/Mumbai/Anish-Novelty-General-Stores-Prabhadevi/022P8127620_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIFByYWJoYWRldmk=
Mahesh General Stores Near Zandu Prabhadevi,0.2 KM,5.0,2 Votes,"Shop.no4, Mantri Corner, Gokhale Road, Prabhadevi, Mumbai - 400025, Near Zandu",https://www.justdial.com/Mumbai/Mahesh-General-Stores-Near-Zandu-Prabhadevi/022PXX22-XX22-160118105456-L4Q2_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIFByYWJoYWRldmk=
Parul Store Opp St depot Prabhadevi,0.2 KM,,0 Votes,"Shop no. 9, Sayani road, Prabhadevi, Mumbai - 400013, Opp. St depot",https://www.justdial.com/Mumbai/Parul-Store-Opp-St-depot-Prabhadevi/022PXX22-XX22-160606142137-C6Y5_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIFByYWJoYWRldmk=
Balaji Grocery Kirana Store Prabhadevi,0.22 KM,3.3,8 Votes,"10, Laxminarayan C.H.S Limited, Sayani Road, Prabhadevi, Mumbai - 400025",https://www.justdial.com/Mumbai/Balaji-Grocery-Kirana-Store-Prabhadevi/022PXX22-XX22-180626222659-W9I5_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIFByYWJoYWRldmk=
Shraddha Prabhadevi,0.27 KM,5.0,1 Votes,"Precision Wires India Ltd., J A Raul Marg, Prabhadevi, Mumbai - 400025",https://www.justdial.com/Mumbai/Shraddha-Prabhadevi/022PXX22-XX22-180308125623-G6Y6_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIFByYWJoYWRldmk=
