Name,Distance,Rating,Votes,Address,Website
Laxmi Chemist Medical General stores Near Creative Industrial Estate Santacruz East,1.32 KM,4.0,63 Votes,"Shop No 02, Golden View Apartment, Road No 2, Santacruz East, Mumbai - 400098, Near Creative Industrial Estate",https://www.justdial.com/Mumbai/Laxmi-Chemist-Medical-General-stores-Near-Creative-Industrial-Estate-Santacruz-East/022PXX22-XX22-110730165157-B2B6_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIFNhbnRhY3J1eg==
Chheda Stores Near Girnar Tea Shop Santacruz West,1.38 KM,4.1,265 Votes,"Shop No. 6, Ground Floor, Ardeshir Mansion, 1st Hasnabad Lane, Santacruz West, Mumbai - 400054, Near Girnar Tea Shop",https://www.justdial.com/Mumbai/Chheda-Stores-Near-Girnar-Tea-Shop-Santacruz-West/022P1003050_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIFNhbnRhY3J1eg==
Noble Chemist And General Store Santacruz West,1.72 KM,4.0,18 Votes,"Smt B.C.J General Hospital, S.V Road, Santacruz West, Mumbai - 400054",https://www.justdial.com/Mumbai/Noble-Chemist-And-General-Store-Santacruz-West/022PXX22-XX22-170906234306-H6P5_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIFNhbnRhY3J1eg==
Real Medical General Store Near Milan Subway Junction Rizvi Nagar Santacruz West,1.91 KM,4.0,82 Votes,"Shop No 17, Rizvi Nagar, S V Road, Santacruz West, Mumbai - 400054, Near Milan Subway Junction, Rizvi Nagar",https://www.justdial.com/Mumbai/Real-Medical-General-Store-Near-Milan-Subway-Junction-Rizvi-Nagar-Santacruz-West/022PF013352_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIFNhbnRhY3J1eg==
City Medico Near Canara Bank Santacruz East,1.15 KM,4.4,46 Votes,"SHOP No.14 - F/3, Roy Nagar,kalina, Santacruz East, Mumbai - 400029, Near Canara Bank",https://www.justdial.com/Mumbai/City-Medico-Near-Canara-Bank-Santacruz-East/022P1006564_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIFNhbnRhY3J1eg==
Sadru Medical And General Stores Near Freindship Showroom Santacruz West,1.39 KM,4.1,19 Votes,"Shop No - 3, Nagree Building, Railway Station Road, Santacruz West, Mumbai - 400054, Near Freindship Showroom",https://www.justdial.com/Mumbai/Sadru-Medical-And-General-Stores-Near-Freindship-Showroom-Santacruz-West/022P1005429_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIFNhbnRhY3J1eg==
Shivam Chemist And General Store Near Vakola Masjid Vakola santacruz East,0.39 KM,4.5,13 Votes,"Shop No- 8, Basera Apartment, Saint Anthony Street, Vakola-santacruz East, Mumbai - 400055, Near Vakola Masjid",https://www.justdial.com/Mumbai/Shivam-Chemist-And-General-Store-Near-Vakola-Masjid-Vakola-santacruz-East/022PXX22-XX22-130216142550-E6L5_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIFNhbnRhY3J1eg==
Rupali Medical General Stores Near Jama Masjid Santacruz East,1.22 KM,4.1,14 Votes,"Shop No - 04, M S Naidu Chawl, Kolivery Village Road, Kalina, Santacruz East, Mumbai - 400098, Near Jama Masjid",https://www.justdial.com/Mumbai/Rupali-Medical-General-Stores-Near-Jama-Masjid-Santacruz-East/022PXX22-XX22-130508163159-Z9Q8_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIFNhbnRhY3J1eg==
Mahesh General Stores Near Podhar school Santacruz West,1.86 KM,4.3,5 Votes,"Shop No.5, Saraswati Sadan, Saraswati Road, Santacruz West, Mumbai - 400054, Near Podhar school",https://www.justdial.com/Mumbai/Mahesh-General-Stores-Near-Podhar-school-Santacruz-West/022P1001996_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIFNhbnRhY3J1eg==
Laxmi General Stores Near Ram Krishna Mission Santacruz West,1.97 KM,3.6,37 Votes,"Shop No 11, Marble Arch Building, Central Avenue Road, Santacruz West, Mumbai - 400054, Near Ram Krishna Mission",https://www.justdial.com/Mumbai/Laxmi-General-Stores-Near-Ram-Krishna-Mission-Santacruz-West/022PXX22-XX22-100424145928-H8X7_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIFNhbnRhY3J1eg==
Abhar Medical General Store Near Gokul Ice Cream Santacruz West,1.96 KM,4.3,34 Votes,"2 Ajay Apartment, Saraswati Road, Santacruz West, Mumbai - 400054, Near Gokul Ice Cream",https://www.justdial.com/Mumbai/Abhar-Medical-General-Store-Near-Gokul-Ice-Cream-Santacruz-West/022PXX22-XX22-000938875009-D4T5_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIFNhbnRhY3J1eg==
