Name,Distance,Rating,Votes,Address,Website
Savla Dry Fruits Near Vishnunagar Ghantali Chowk Naupada Thane West,0.75 KM,3.6,5 Votes,"Shradha Bhavan, Station Road, Thane West, Thane - 400601, Near Vishnunagar Ghantali Chowk Naupada",https://www.justdial.com/Mumbai/Savla-Dry-Fruits-Near-Vishnunagar-Ghantali-Chowk-Naupada-Thane-West/022PXX22-XX22-120721112449-J9R9_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIFRoYW5l
Ashish Bharatiya Bazaar Apna Near Shimla Bar Thane West,1.42 KM,4.0,3 Votes,"Shop 2,Shreejidham Building, Edulji Road, Thane West, thane - 400601, Near Shimla Bar",https://www.justdial.com/Mumbai/Ashish-Bharatiya-Bazaar-Apna-Near-Shimla-Bar-Thane-West/022PXX22-XX22-190726131057-Q8N2_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIFRoYW5l
Ratan Supermarket Near Gaondevi Mandir Kopri Colony Thane East,0.33 KM,4.1,26 Votes,"Shop No 52, C, Sant Tukaram Road, Kopri Colony-Thane East, Thane - 400603, Near Gaondevi Mandir",https://www.justdial.com/Mumbai/Ratan-Supermarket-Near-Gaondevi-Mandir-Kopri-Colony-Thane-East/022P1238165878N6U8X9_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIFRoYW5l
Deepak Stores Near Jambhali Naka Thane West,1.05 KM,4.3,3 Votes,"Station Rd, Thane West, Thane - 400601, Near Jambhali Naka",https://www.justdial.com/Mumbai/Deepak-Stores-Near-Jambhali-Naka-Thane-West/022P1970245_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIFRoYW5l
Vishal Super Market Opposite Sant Tukaram Ground Kopri Thane East,0.26 KM,3.7,15 Votes,"Shop No-02, Gautam Aracade, Raut Road, Kopri-Thane East, Thane - 400603, Opposite Sant Tukaram Ground",https://www.justdial.com/Mumbai/Vishal-Super-Market-Opposite-Sant-Tukaram-Ground-Kopri-Thane-East/022PXX22-XX22-140218182956-Q3A2_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIFRoYW5l
Khushalani Stores Opposite Building No 22 Kopri Thane East,0.6 KM,4.0,20 Votes,"Sarvanand Appartment , Plot No 10, Kopri, Thane East, Thane - 400603, Opposite Building No 22 ,Kopri",https://www.justdial.com/Mumbai/Khushalani-Stores-Opposite-Building-No-22-Kopri-Thane-East/022PK005033_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIFRoYW5l
New Thana Traders Near Thane Market Jambli Naka Thane West,,3.9,5 Votes,"Shop No 1, Bohri Building, Devidas Road, Thane West, Thane - 400601, Near Thane Market,Jambli Naka",https://www.justdial.com/Mumbai/New-Thana-Traders-Near-Thane-Market-Jambli-Naka-Thane-West/022P1237699255K7C6E8_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIFRoYW5l
Niti General Store Near Thane Bharat Sahakari Bank Thane West,0.87 KM,3.7,11 Votes,"Kaustubh Chs, Baji Prabhu Deshpande Road, Thane West, Thane - 400601, Near Thane Bharat Sahakari Bank",https://www.justdial.com/Mumbai/Niti-General-Store-Near-Thane-Bharat-Sahakari-Bank-Thane-West/022PXX22-XX22-130430152842-V7G9_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIFRoYW5l
Raju Cold Drinks And Gen Store Near Block No 4 Kopri Colony thane East,0.94 KM,4.0,1 Votes,"Kopari Colony, Thane West, Mumbai, Kopri Road, Kopri Colony-thane East, Thane - 400603, Near Block No 4",https://www.justdial.com/Mumbai/Raju-Cold-Drinks-And-Gen-Store-Near-Block-No-4-Kopri-Colony-thane-East/022PXX22-XX22-180412224333-A3V9_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIFRoYW5l
Krishna Medical General Store Near Bhanushali Hospital Shivaji Path Thane West,0.37 KM,4.0,27 Votes,"Shop No 3, Solanki Sadan, Station Road, Thane West, Thane - 400601, Near Bhanushali Hospital, Shivaji Path",https://www.justdial.com/Mumbai/Krishna-Medical-General-Store-Near-Bhanushali-Hospital-Shivaji-Path-Thane-West/022P1238021194I3Z2X3_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIFRoYW5l
Sharda Medical General Store Opposite Thane Janta Sahakari Bank Singh Nagar Thane West,2 KM,4.1,14 Votes,"Shop No.01 Singh Nagar, Kopat Road, Thane West, Thane - 400601, Opposite Thane Janta Sahakari Bank, Singh Nagar",https://www.justdial.com/Mumbai/Sharda-Medical-General-Store-Opposite-Thane-Janta-Sahakari-Bank-Singh-Nagar-Thane-West/022PF004691_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIFRoYW5l
Hari Om Crockery Kirana Store,,2.0,1 Votes,"Section 29, Bhaji Market, Thane - 400603, Near Unr- 4",https://www.justdial.com/Mumbai/Hari-Om-Crockery-Kirana-Store/022PXX22-XX22-110304115835-H9W7_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIFRoYW5l
Jainam General Store Opp Sadguru Garden Kopri Thane East,0.28 KM,,0 Votes,"Shop no-1 Gurudev Nagar, R. M. Road, Kopri-Thane East, Thane - 400603, Opp. Sadguru Garden",https://www.justdial.com/Mumbai/Jainam-General-Store-Opp-Sadguru-Garden-Kopri-Thane-East/022PXX22-XX22-160804153220-R2E4_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIFRoYW5l
Shri Krishna General Store Thane West,0.29 KM,,0 Votes,"Vartak Nagar, Thane West, Thane - 400601",https://www.justdial.com/Mumbai/Shri-Krishna-General-Store-Thane-West/022PXX22-XX22-140529180345-P5R5_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIFRoYW5l
Food Trip Next to Monginis Cake Shop Near Railway Station Thane West,0.31 KM,4.7,3 Votes,"Shop No 6 & 7, Yashodhan Biulding, Station Road, Thane West, Thane - 400601, Next to Monginis Cake Shop, Near Railway Station",https://www.justdial.com/Mumbai/Food-Trip-Next-to-Monginis-Cake-Shop-Near-Railway-Station-Thane-West/022PXX22-XX22-170208111629-P9N2_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIFRoYW5l
Patel Medical Thane Thane West,,5.0,1 Votes,"Shop No 2,Trishul Sadan, Kisan Nagar,, Thane West, Thane - 400601, Thane",https://www.justdial.com/Mumbai/Patel-Medical-Thane-Thane-West/022PXX22-XX22-110103224843-S9R8_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIFRoYW5l
Bharat Soap General Store Kopri Colony thane East,0.34 KM,,0 Votes,"1 Kopri Colony, Sant Tukaram Road, Kopri Colony-thane East, Thane - 400603",https://www.justdial.com/Mumbai/Bharat-Soap-General-Store-Kopri-Colony-thane-East/022P8127677_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIFRoYW5l
Vimal Medical General Stores Opposite American Watch Company Thane West,0.5 KM,,0 Votes,"Dandekar Bhavan shop-1, Station Road, Thane West, Thane - 400601, Opposite American Watch Company",https://www.justdial.com/Mumbai/Vimal-Medical-General-Stores-Opposite-American-Watch-Company-Thane-West/022P1237304151C6F9Q7_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIFRoYW5l
Patidar Tobaco General Store Manpada Naka Thane West,,,0 Votes,"4 Chitalsar, Thane West, Thane - 400601, Manpada Naka",https://www.justdial.com/Mumbai/Patidar-Tobaco-General-Store-Manpada-Naka-Thane-West/022P1236402698D3Q1B8_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIFRoYW5l
Laxmi Super Market Opposite Suraj Water Park Thane West,,4.0,1 Votes,"Shop No 4 Kanchan Pushpa, Ghodbunder Road, Thane West, Thane - 400601, Opposite Suraj Water Park",https://www.justdial.com/Mumbai/Laxmi-Super-Market-Opposite-Suraj-Water-Park-Thane-West/022P1238095086W8A9U2_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIFRoYW5l
Vijay Medical General Stores Lokmanya Ngr Thane West,,3.8,10 Votes,"Shop No 1 Prabhat Soc, Thane West, Thane - 400601, Lokmanya Ngr",https://www.justdial.com/Mumbai/Vijay-Medical-General-Stores-Lokmanya-Ngr-Thane-West/022P5631610_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIFRoYW5l
