Name,Distance,Rating,Votes,Address,Website
Manilal Traders Vikhroli East,0.37 KM,3.9,13 Votes,"Shop No.1, Opposite Building No.8, Tagore Nagar, Station Road, Vikhroli East, Mumbai - 400083",https://www.justdial.com/Mumbai/Manilal-Traders-Vikhroli-East/022PXX22-XX22-120315015953-V9C7_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIFZpa2hyb2xp
Lata Books General Stores Near Station Vikhroli East,0.38 KM,4.1,270 Votes,"Station Road, Ganesh Marg, Vikhroli East, Mumbai - 400083, Near Station",https://www.justdial.com/Mumbai/Lata-Books-General-Stores-Near-Station-Vikhroli-East/022P1940338_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIFZpa2hyb2xp
Noble Medical General Stores Hariyali Village Vikhroli East,0.62 KM,4.2,13 Votes,"Shop No 6, Shiv Shankar Chawl, Vikhroli East, Mumbai - 400083, Hariyali Village",https://www.justdial.com/Mumbai/Noble-Medical-General-Stores-Hariyali-Village-Vikhroli-East/022P1237473980J2R6P2_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIFZpa2hyb2xp
Sirji Medical General Stores Janta Seva Samiti Hariyali Village Vikhroli East,,2.0,1 Votes,"Sona Intp Colony, SM Mandir Marg, Vikhroli East, Mumbai - 400083, Janta Seva Samiti, Hariyali Village",https://www.justdial.com/Mumbai/Sirji-Medical-General-Stores-Janta-Seva-Samiti-Hariyali-Village-Vikhroli-East/022PXX22-XX22-200603183249-U3S6_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIFZpa2hyb2xp
Shree Mamata Chemist Near Kannamwar Nagar No 2 Opposite Vikhroli Police Station Vikhroli East,0.8 KM,2.8,3 Votes,"Shop No 24, Patidar Complex, Vikhroli East, Mumbai - 400083, Near Kannamwar Nagar No 2, Opposite Vikhroli Police Station",https://www.justdial.com/Mumbai/Shree-Mamata-Chemist-Near-Kannamwar-Nagar-No-2-Opposite-Vikhroli-Police-Station-Vikhroli-East/022PXX22-XX22-121029205107-W1C6_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIFZpa2hyb2xp
Om Medical And General Store Tagore Nagar Near Badi Masjid Vikhroli East,,4.0,4 Votes,"Ganga Ram Chawl,, Vikhroli East, Mumbai - 400079, Tagore Nagar, Near Badi Masjid",https://www.justdial.com/Mumbai/Om-Medical-And-General-Store-Tagore-Nagar-Near-Badi-Masjid-Vikhroli-East/022PXX22-XX22-140613121625-A4E2_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIFZpa2hyb2xp
Annu Medical and General Stores Near Mahatma Phule Hospital Kannamwar Nagar No 2 Vikhroli East,1.35 KM,4.5,10 Votes,"Shop No 121-1/1, Janta Market Road, Vikhroli East, Mumbai - 400083, Near Mahatma Phule Hospital, Kannamwar Nagar No 2",https://www.justdial.com/Mumbai/Annu-Medical-and-General-Stores-Near-Mahatma-Phule-Hospital-Kannamwar-Nagar-No-2-Vikhroli-East/022P1238088293F6U8T5_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIFZpa2hyb2xp
Shree Sagar Medical General Stores Near Shankar Mandir Park Site Vikhroli West,1.66 KM,4.2,5 Votes,"Shop No 350/2 Ground Floor, Anand Gadh, Park Site-Vikhroli West, Mumbai - 400079, Near Shankar Mandir",https://www.justdial.com/Mumbai/Shree-Sagar-Medical-General-Stores-Near-Shankar-Mandir-Park-Site-Vikhroli-West/022P1226675807B3Q9M6_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIFZpa2hyb2xp
Prajapati Provision Stores Bharat Nagar Vikhroli East,0.31 KM,4.1,5 Votes,"Shop No 12, Station Road, Vikhroli East, Mumbai - 400083, Bharat Nagar",https://www.justdial.com/Mumbai/Prajapati-Provision-Stores-Bharat-Nagar-Vikhroli-East/022PXX22-XX22-150801201225-V6J9_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIFZpa2hyb2xp
Ramji Govindji Company Near Aakershan Hotel Vikhroli West,0.39 KM,3.8,6 Votes,"Palival Bhavan, Station Road, Vikhroli West, Mumbai - 400079, Near Aakershan Hotel",https://www.justdial.com/Mumbai/Ramji-Govindji-Company-Near-Aakershan-Hotel-Vikhroli-West/022P1928231_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIFZpa2hyb2xp
Variety General Store Near Railway Station Vikhroli West,0.39 KM,3.6,6 Votes,"Shop No. 7 Paras Sadan, Station Road, Vikhroli West, Mumbai - 400083, Near Railway Station",https://www.justdial.com/Mumbai/Variety-General-Store-Near-Railway-Station-Vikhroli-West/022PXX22-XX22-160413154011-M2W2_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIFZpa2hyb2xp
Shree Bhavani Kirana Store Near VT Bakery Hariyali Village vikhroli East,0.45 KM,,0 Votes,"Shop No 6, Tagore Nagar, Hariyali Village-vikhroli East, Mumbai - 400083, Near VT Bakery",https://www.justdial.com/Mumbai/Shree-Bhavani-Kirana-Store-Near-VT-Bakery-Hariyali-Village-vikhroli-East/022P1225823732H4T3G8_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIFZpa2hyb2xp
Pravin General Store Opp Shiddhesh Collection Vikhroli East,0.46 KM,5.0,1 Votes,"Group No.1, Tagore Nagar, Tikke Kamble Marg, Vikhroli East, Mumbai - 400083, Opp. Shiddhesh Collection",https://www.justdial.com/Mumbai/Pravin-General-Store-Opp-Shiddhesh-Collection-Vikhroli-East/022PXX22-XX22-160209154129-A4G8_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIFZpa2hyb2xp
West End Manglore General Stores Vikhroli West,0.53 KM,4.6,4 Votes,"Paras Sadan, Station Road, Vikhroli West, Mumbai - 400079",https://www.justdial.com/Mumbai/West-End-Manglore-General-Stores-Vikhroli-West/022P1940380_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIFZpa2hyb2xp
Kerala General Stores Vikhroli West,,4.7,3 Votes,"Station Road, Vikhroli West, Mumbai - 400079",https://www.justdial.com/Mumbai/Kerala-General-Stores-Vikhroli-West/022P1940406_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIFZpa2hyb2xp
Metro Chemist General Stores Near Kannamwar Nagar No 1 Vikhroli East,0.7 KM,3.9,7 Votes,"Shop No.2, Gajanan Maharaj Chowk, Vikhroli East, Mumbai - 400083, Near Kannamwar Nagar No.1",https://www.justdial.com/Mumbai/Metro-Chemist-General-Stores-Near-Kannamwar-Nagar-No-1-Vikhroli-East/022P1238088489H1L4Y6_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIFZpa2hyb2xp
Vedant Medical General Stores Tagore Nagar Group No 2 353 Bus Route Near Bus Stand Vikhroli East,0.7 KM,4.0,1 Votes,"283/363-A, Vikhroli East, Mumbai - 400083, Tagore Nagar, Group No. 2,353 Bus Route, Near Bus Stand",https://www.justdial.com/Mumbai/Vedant-Medical-General-Stores-Tagore-Nagar-Group-No-2-353-Bus-Route-Near-Bus-Stand-Vikhroli-East/022PXX22-XX22-170926201219-J4L4_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIFZpa2hyb2xp
I G Provision Stores Opp Vasant Jewellers Anandgad Parkside Vikhroli West,0.95 KM,,0 Votes,"Hare Krishna Soc, Vikhroli West, Mumbai - 400079, Opp Vasant Jewellers, Anandgad Parkside",https://www.justdial.com/Mumbai/I-G-Provision-Stores-Opp-Vasant-Jewellers-Anandgad-Parkside-Vikhroli-West/022P1238250945P7S6R9_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIFZpa2hyb2xp
Welcome General Store Opp Bldg No 15 Parksite Vikhroli West,,,0 Votes,"Road No 1, Vikhroli West, Mumbai - 400079, Opp Bldg No 15,Parksite",https://www.justdial.com/Mumbai/Welcome-General-Store-Opp-Bldg-No-15-Parksite-Vikhroli-West/022P1226696648R3M7J5_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIFZpa2hyb2xp
