Name,Distance,Rating,Votes,Address,Website
Joshi Khaughar Opposite ICICI Bank Vile Parle East,0.73 KM,5.0,4 Votes,"Shop No.5, Dunhill Castel Elvid Co-Operative Housing Society, Hanuman Road, Vile Parle East, Mumbai - 400057, Opposite ICICI Bank",https://www.justdial.com/Mumbai/Joshi-Khaughar-Opposite-ICICI-Bank-Vile-Parle-East/022PXX22-XX22-190926110838-G7M6_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIFZpbGUgUGFybGUgRWFzdA==
Heersons Stores Near Railway Station Agarwal Market Vile Parle East,1.2 KM,4.4,1013 Votes,"A/9, Agarwalmarket, Tejpal Road, Vile Parle East, Mumbai - 400057, Near Railway Station, Agarwal Market",https://www.justdial.com/Mumbai/Heersons-Stores-Near-Railway-Station-Agarwal-Market-Vile-Parle-East/022PGE01608_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIFZpbGUgUGFybGUgRWFzdA==
Vijay Stores Opposite Ram Mandir Vile Parle East,1.11 KM,4.1,249 Votes,"4, Sahajeevan, Shraddhanand Road, Vile Parle East, Mumbai - 400057, Opposite Ram Mandir",https://www.justdial.com/Mumbai/Vijay-Stores-Opposite-Ram-Mandir-Vile-Parle-East/022PF002566_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIFZpbGUgUGFybGUgRWFzdA==
Noble Chemist Near Dominos Pizza Vile Parle East,0.63 KM,4.0,92 Votes,"Shop No 05, Gujrati Society, Nehru Road, Vile Parle East, Mumbai - 400057, Near Dominos Pizza",https://www.justdial.com/Mumbai/Noble-Chemist-Near-Dominos-Pizza-Vile-Parle-East/022PXX22-XX22-141105184017-P3J7_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIFZpbGUgUGFybGUgRWFzdA==
Vishnu Stores Near Parleshwar Temple Vile Parle East,1.07 KM,4.3,167 Votes,"Shop No 1 Paranjpe Wadi, M G Road, Vile Parle East, Mumbai - 400057, Near Parleshwar Temple",https://www.justdial.com/Mumbai/Vishnu-Stores-Near-Parleshwar-Temple-Vile-Parle-East/022PK059062_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIFZpbGUgUGFybGUgRWFzdA==
Parlekar Masala Supermarket Opposite Railway Station Vile Parle East,1.29 KM,4.0,76 Votes,"Shop No. 15 16 , Vanmalidas Compund, Tejpal Road, Vile Parle East, Mumbai - 400057, Opposite Railway Station",https://www.justdial.com/Mumbai/Parlekar-Masala-Supermarket-Opposite-Railway-Station-Vile-Parle-East/022PF004623_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIFZpbGUgUGFybGUgRWFzdA==
Vijay Provision General Stores Near Parle Tilak Vidyalaya Vile Parle East,0.97 KM,4.1,42 Votes,"1/2, Nandanvan, Tejpal Scheme Main Road, Vile Parle East, Mumbai - 400057, Near Parle Tilak Vidyalaya",https://www.justdial.com/Mumbai/Vijay-Provision-General-Stores-Near-Parle-Tilak-Vidyalaya-Vile-Parle-East/022P1201404_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIFZpbGUgUGFybGUgRWFzdA==
Suvidha Medical General Store Opposite Ramkrishna Hotel Corner Of Nehru Road Vile Parle East,1.28 KM,4.3,22 Votes,"Vanmali Compound, Shop No 240, Vile Parle East, Mumbai - 400057, Opposite Ramkrishna Hotel, Corner Of Nehru Road",https://www.justdial.com/Mumbai/Suvidha-Medical-General-Store-Opposite-Ramkrishna-Hotel-Corner-Of-Nehru-Road-Vile-Parle-East/022PXX22-XX22-000759442475-Z1V7_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIFZpbGUgUGFybGUgRWFzdA==
My Lifestyle Marketing Pvt Ltd Near Alfa College Vile Parle East,,4.8,4 Votes,"Jai Hind Cottage Room 21, Vile Parle East, Mumbai - 400057, Near Alfa College",https://www.justdial.com/Mumbai/My-Lifestyle-Marketing-Pvt-Ltd-Near-Alfa-College-Vile-Parle-East/022PXX22-XX22-160130125055-G8S5_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIFZpbGUgUGFybGUgRWFzdA==
New Gajora Brothers Near Mahalaxmi Mandir Vile Parle East,0.97 KM,4.2,17 Votes,"Shop-11, Suryaniwas Apartment, Ram Mandir Road, Vile Parle East, Mumbai - 400057, Near Mahalaxmi Mandir",https://www.justdial.com/Mumbai/New-Gajora-Brothers-Near-Mahalaxmi-Mandir-Vile-Parle-East/022PXX22-XX22-151031123439-A2E9_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIFZpbGUgUGFybGUgRWFzdA==
