Name,Distance,Rating,Votes,Address,Website
Alfa 1 Near Cooper Hospital Vile Parle West,0.87 KM,3.9,2842 Votes,"116/A, Oskar House, Irla Society Road, Vile Parle West, Mumbai - 400056, Near Cooper Hospital",https://www.justdial.com/Mumbai/Alfa-1-Near-Cooper-Hospital-Vile-Parle-West/022P1916616_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIFZpbGUgUGFybGUgV2VzdA==
Atul Stores Near Vishwa Karma Hall Vile Parle West,0.45 KM,4.1,344 Votes,"Shop No 2, Laxmi Darshan Building, Bajaj Road, Vile Parle West, Mumbai - 400056, Near Vishwa Karma Hall",https://www.justdial.com/Mumbai/Atul-Stores-Near-Vishwa-Karma-Hall-Vile-Parle-West/022PF011939_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIFZpbGUgUGFybGUgV2VzdA==
Murgan Store Nehru Nagar Vile Parle West,,4.1,8 Votes,"Shop No. 1, Marchant Chawl, Vile Parle West, Mumbai - 400056, Nehru Nagar",https://www.justdial.com/Mumbai/Murgan-Store-Nehru-Nagar-Vile-Parle-West/022PXX22-XX22-170706173008-G7D4_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIFZpbGUgUGFybGUgV2VzdA==
Kamat Medical General Stores Opposite Madina Stores Near Railway Fatak Vile Parle West,0.53 KM,3.5,39 Votes,"79 A, St Francis Road, Vile Parle West, Mumbai - 400056, Opposite Madina Stores Near Railway Fatak",https://www.justdial.com/Mumbai/Kamat-Medical-General-Stores-Opposite-Madina-Stores-Near-Railway-Fatak-Vile-Parle-West/022PXX22-XX22-111209160145-Y9K7_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIFZpbGUgUGFybGUgV2VzdA==
Patel General Stores Opposite Rashraj Hotel Near Vishnu Prasad Hall Next Welcome Medical Vile Parle West,0.46 KM,4.3,3 Votes,"Shop No 6, V M Road, Vile Parle West, Mumbai - 400056, Opposite Rashraj Hotel, Near Vishnu Prasad Hall, Next Welcome Medical",https://www.justdial.com/Mumbai/Patel-General-Stores-Opposite-Rashraj-Hotel-Near-Vishnu-Prasad-Hall-Next-Welcome-Medical-Vile-Parle-West/022P1924142_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIFZpbGUgUGFybGUgV2VzdA==
Sonal General Stores Opp Chandan Niwas Vile Parle West,0.42 KM,4.7,24 Votes,"Shop No.9, Laxmi Darshan, Bajaj Road, Vile Parle West, Mumbai - 400056, Opp. Chandan Niwas",https://www.justdial.com/Mumbai/Sonal-General-Stores-Opp-Chandan-Niwas-Vile-Parle-West/022PXX22-XX22-120301010727-Z7C6_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIFZpbGUgUGFybGUgV2VzdA==
Deepak Stores Opposite Bank Of Baroda Vile Parle West,0.05 KM,4.2,12 Votes,"Shop No 2, Shrikrishna Niwas, D J Road, Vile Parle West, Mumbai - 400056, Opposite Bank Of Baroda",https://www.justdial.com/Mumbai/Deepak-Stores-Opposite-Bank-Of-Baroda-Vile-Parle-West/022P1923611_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIFZpbGUgUGFybGUgV2VzdA==
Janta General Stores Opposite Mcdonalds Vile Parle West,0.13 KM,4.2,22 Votes,"Shop No 1, Nirmal Building, D J Road, Vile Parle West, Mumbai - 400056, Opposite Mcdonalds",https://www.justdial.com/Mumbai/Janta-General-Stores-Opposite-Mcdonalds-Vile-Parle-West/022PF014697_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIFZpbGUgUGFybGUgV2VzdA==
Sohini Provision Stores Near Bank Of Baroda Vile Parle West,0.03 KM,3.6,33 Votes,"Shop No 2, Sohinin Apartment, Dashrathlal Joshi Marg, Vile Parle West, Mumbai - 400056, Near Bank Of Baroda",https://www.justdial.com/Mumbai/Sohini-Provision-Stores-Near-Bank-Of-Baroda-Vile-Parle-West/022PXX22-XX22-000121325618-X2K3_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIFZpbGUgUGFybGUgV2VzdA==
Sunshine Medical General Store Opposite Catholic Syrian Bank Vile Parle West,0.4 KM,3.8,53 Votes,"Shop No 11 Shiv Kesar Co-operative Housing Society, Baptists Road, Vile Parle West, Mumbai - 400056, Opposite Catholic Syrian Bank",https://www.justdial.com/Mumbai/Sunshine-Medical-General-Store-Opposite-Catholic-Syrian-Bank-Vile-Parle-West/022PXX22-XX22-090822112858-Q1J1_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIFZpbGUgUGFybGUgV2VzdA==
