Name,Distance,Rating,Votes,Address,Website
Monarch Dry Fruit Opposite Sheetal Baug Bus Stop Walkeshwar,0.41 KM,3.8,43 Votes,"Shop No. 48-50, Surya Darshan Building, Walkeshwar Road, Walkeshwar, Mumbai - 400006, Opposite Sheetal Baug Bus Stop",https://www.justdial.com/Mumbai/Monarch-Dry-Fruit-Opposite-Sheetal-Baug-Bus-Stop-Walkeshwar/022PXX22-XX22-090603024944-G4R7_BZDET?xid=TXVtYmFpIEdyb2NlcnkgU3RvcmVzIFdhbGtlc2h3YXI=
Jain Provision Stores Shripal Nagar Walkeshwar,0.69 KM,3.9,72 Votes,"Shop No 101, 12,J Mehta Marg, Walkeshwar, Mumbai - 400006, Shripal Nagar",https://www.justdial.com/Mumbai/Jain-Provision-Stores-Shripal-Nagar-Walkeshwar/022PTE01397_BZDET?xid=TXVtYmFpIEdyb2NlcnkgU3RvcmVzIFdhbGtlc2h3YXI=
Legend Super Bazaar Teen Batti Bus Depot Malabar Hill,0.81 KM,4.0,112 Votes,"220, The Legend, Walkeshwar Road, Malabar Hill, Mumbai - 400006, Teen Batti Bus Depot",https://www.justdial.com/Mumbai/Legend-Super-Bazaar-Teen-Batti-Bus-Depot-Malabar-Hill/022PXX22-XX22-170316033221-H1X9_BZDET?xid=TXVtYmFpIEdyb2NlcnkgU3RvcmVzIFdhbGtlc2h3YXI=
Shah Provision Stores Opposite Khandray Mandir Near Raj Bhavan Malabar Hill,0.86 KM,4.1,61 Votes,"Shop No 241, Patil Niwas, Walkeshwar Road, Malabar Hill, Mumbai - 400006, Opposite Khandray Mandir, Near Raj Bhavan",https://www.justdial.com/Mumbai/Shah-Provision-Stores-Opposite-Khandray-Mandir-Near-Raj-Bhavan-Malabar-Hill/022PXX22-XX22-000513615737-E5O8_BZDET?xid=TXVtYmFpIEdyb2NlcnkgU3RvcmVzIFdhbGtlc2h3YXI=
Manish Stores Walkeshwar,0.31 KM,4.5,2 Votes,"Sagar Cottage, 61/A, Walkeshwar Road, Walkeshwar, Mumbai - 400006",https://www.justdial.com/Mumbai/Manish-Stores-Walkeshwar/022PXX22-XX22-131225120208-X8L4_BZDET?xid=TXVtYmFpIEdyb2NlcnkgU3RvcmVzIFdhbGtlc2h3YXI=
Laxmi Food Hub Opposite Khanderai Mandir Walkeshwar,0.15 KM,5.0,2 Votes,"235/237, Bhagat Ashram, Walkeshwar Road, Walkeshwar, Mumbai - 400006, Opposite Khanderai Mandir",https://www.justdial.com/Mumbai/Laxmi-Food-Hub-Opposite-Khanderai-Mandir-Walkeshwar/022PXX22-XX22-170316033235-S4I2_BZDET?xid=TXVtYmFpIEdyb2NlcnkgU3RvcmVzIFdhbGtlc2h3YXI=
Shah Bhimshi Naiya Opp dariya mall bus stop Walkeshwar,0.4 KM,3.9,20 Votes,"Star Dust Building,shop no 1/a,, 80 Napean Sea Road, Walkeshwar, Mumbai - 400006, opp.dariya mall bus stop",https://www.justdial.com/Mumbai/Shah-Bhimshi-Naiya-Opp-dariya-mall-bus-stop-Walkeshwar/022PXX22-XX22-101207191654-J3M3_BZDET?xid=TXVtYmFpIEdyb2NlcnkgU3RvcmVzIFdhbGtlc2h3YXI=
Darshana Store Super Market Near Sheetal Baugh Walkeshwar,0.83 KM,2.0,2 Votes,"52, Jalan House,Grd Floor,, Walkeshwar Road,, Walkeshwar, Mumbai - 400006, Near Sheetal Baugh,",https://www.justdial.com/Mumbai/Darshana-Store-Super-Market-Near-Sheetal-Baugh-Walkeshwar/022PXX22-XX22-110708204115-M3C8_BZDET?xid=TXVtYmFpIEdyb2NlcnkgU3RvcmVzIFdhbGtlc2h3YXI=
Sagar Stores Near Baalganga Walkeshwar,0.97 KM,5.0,5 Votes,"91, Prakash Niwas, Dr Bhagwandas Indrajit Road, Walkeshwar, Mumbai - 400006, Near Baalganga",https://www.justdial.com/Mumbai/Sagar-Stores-Near-Baalganga-Walkeshwar/022PXX22-XX22-101020150052-L9F2_BZDET?xid=TXVtYmFpIEdyb2NlcnkgU3RvcmVzIFdhbGtlc2h3YXI=
Bhajji Sevai Co Walkeshwar,0.11 KM,,0 Votes,"94 Adarsh Building, Walkeshwar, Mumbai - 400006",https://www.justdial.com/Mumbai/Bhajji-Sevai-Co-Walkeshwar/022PXX22-XX22-151028180329-U5I5_BZDET?xid=TXVtYmFpIEdyb2NlcnkgU3RvcmVzIFdhbGtlc2h3YXI=
Popular Store White House Walkeshwar,0.11 KM,5.0,1 Votes,"Adarsh Blg, 94 Road, Walkeshwar, Mumbai - 400006, White House",https://www.justdial.com/Mumbai/Popular-Store-White-House-Walkeshwar/022PXX22-XX22-160119160749-T6N2_BZDET?xid=TXVtYmFpIEdyb2NlcnkgU3RvcmVzIFdhbGtlc2h3YXI=
Anil Jaiswal Bhai Walkeshwar,0.41 KM,4.7,10 Votes,"Krishanaraj Society, Malabar Hill, Road, Walkeshwar, Mumbai - 400006",https://www.justdial.com/Mumbai/Anil-Jaiswal-Bhai-Walkeshwar/022PXX22-XX22-181203195916-U2B1_BZDET?xid=TXVtYmFpIEdyb2NlcnkgU3RvcmVzIFdhbGtlc2h3YXI=
Sangam Stores Walkeshwar,0.82 KM,1.8,2 Votes,"Teen Batti, Dungarshi Road, Walkeshwar, Mumbai - 400006",https://www.justdial.com/Mumbai/Sangam-Stores-Walkeshwar/022PXX22-XX22-090606193027-IAPP_BZDET?xid=TXVtYmFpIEdyb2NlcnkgU3RvcmVzIFdhbGtlc2h3YXI=
Laxmi Stores Bhagat Ashram Malabar Hill,0.85 KM,3.6,8 Votes,"235 Shop, Walkeshwar Road, Malabar Hill, Mumbai - 400006, Bhagat Ashram",https://www.justdial.com/Mumbai/Laxmi-Stores-Bhagat-Ashram-Malabar-Hill/022PXX22-XX22-121219023246-X5I1_BZDET?xid=TXVtYmFpIEdyb2NlcnkgU3RvcmVzIFdhbGtlc2h3YXI=
Jai Jalaram Opposite Khanderai Mandir Malabar Hill,0.85 KM,3.0,3 Votes,"233a, Shivsmuti Biulding, Raj Bhavan, Walkeshwar Road, Malabar Hill, Mumbai - 400006, Opposite Khanderai Mandir",https://www.justdial.com/Mumbai/Jai-Jalaram-Opposite-Khanderai-Mandir-Malabar-Hill/022PXX22-XX22-181203224514-W8X2_BZDET?xid=TXVtYmFpIEdyb2NlcnkgU3RvcmVzIFdhbGtlc2h3YXI=
Kenorita Supermarket Opposite Dariya Mahal Near Priya Darshni Nepean Sea Road,0.47 KM,4.1,471 Votes,"75, Sagar Tarang Building, Nepean Sea Road, Mumbai - 400006, Opposite Dariya Mahal, Near Priya Darshni",https://www.justdial.com/Mumbai/Kenorita-Supermarket-Opposite-Dariya-Mahal-Near-Priya-Darshni-Nepean-Sea-Road/022P8710505_BZDET?xid=TXVtYmFpIEdyb2NlcnkgU3RvcmVzIFdhbGtlc2h3YXI=
