Name,Distance,Rating,Votes,Address,Website
Rakhangi General Stores Nx Worli,0.46 KM,4.0,142 Votes,"Plot No 2, Kakad Estate, R G Thadani Marg, Worli, Mumbai - 400018",https://www.justdial.com/Mumbai/Rakhangi-General-Stores-Nx-Worli/022PXX22-XX22-150512172607-I6L5_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIFdvcmxp
Natural Food Basket Podar Hospital Worli,0.6 KM,3.9,13 Votes,"Shop No 5, Ground Floor, 109, Himalaya CHS LTD, Dr. R G Thadani Marg, Worli, Mumbai - 400018, Podar Hospital",https://www.justdial.com/Mumbai/Natural-Food-Basket-Podar-Hospital-Worli/022PXX22-XX22-191009200211-L8W2_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIFdvcmxp
Mamajis Namkeen Opposite Oriental Bank Worli Naka worli,0.08 KM,4.5,12 Votes,"Shop No 12, Mantri Chawl, Ganpatrao Kadam Marg, Worli Naka-worli, Mumbai - 400018, Opposite Oriental Bank",https://www.justdial.com/Mumbai/Mamajis-Namkeen-Opposite-Oriental-Bank-Worli-Naka-worli/022PXX22-XX22-121116010526-T2Y2_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIFdvcmxp
Kevat General Stores NEAR MAHINDRE TOWER Worli,0.72 KM,5.0,2 Votes,"BDD CHAWL, BUILDING NO-72, Ganpat Rao Madam Marg, Worli, Mumbai - 400013, NEAR MAHINDRE TOWER",https://www.justdial.com/Mumbai/Kevat-General-Stores-NEAR-MAHINDRE-TOWER-Worli/022PXX22-XX22-170517160502-H4M1_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIFdvcmxp
Patanjali General Store Near Century Bazar Fire Brigade Worli,1.77 KM,4.2,22 Votes,"Shop No 12, Kharude Market, Annie Besant Road, Worli, Mumbai - 400018, Near Century Bazar Fire Brigade",https://www.justdial.com/Mumbai/Patanjali-General-Store-Near-Century-Bazar-Fire-Brigade-Worli/022PXX22-XX22-181117141008-B9V8_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIFdvcmxp
Vipul Stores Worli Sea Face Worli,0.59 KM,3.8,62 Votes,"Shop No 2 3 & 4 Himalaya Society, Worli, Mumbai - 400018, Worli Sea Face",https://www.justdial.com/Mumbai/Vipul-Stores-Worli-Sea-Face-Worli/022P1235665114L6K2Z9_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIFdvcmxp
Tirumala Medical And General Stores Near Mahindra Tower Worli,0.72 KM,4.4,59 Votes,"Shop No 5, B D D Building No 55, P B Marg, Worli, Mumbai - 400018, Near Mahindra Tower",https://www.justdial.com/Mumbai/Tirumala-Medical-And-General-Stores-Near-Mahindra-Tower-Worli/022PXX22-XX22-121124173130-P2R7_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIFdvcmxp
Om The Super Shopee Near Worli Sea Face Worli,0.5 KM,4.1,47 Votes,"107/6 Anand Ashram Building, R G Thadani Marg, Worli, Mumbai - 400018, Near Worli Sea Face",https://www.justdial.com/Mumbai/Om-The-Super-Shopee-Near-Worli-Sea-Face-Worli/022PXX22-XX22-121122172900-Y4Z9_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIFdvcmxp
Rakhangis 7 L L P Opposite Podar Hospital Worli Naka Worli,0.57 KM,4.7,25 Votes,"Alankar C.h.s.l, Dr. Annie Besant Road, Worli Naka-Worli, Mumbai - 400018, Opposite Podar Hospital",https://www.justdial.com/Mumbai/Rakhangis-7-L-L-P-Opposite-Podar-Hospital-Worli-Naka-Worli/022PXX22-XX22-181215231519-X9L8_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIFdvcmxp
Shree Shanti Book Depot General Store Opposite Jamburi Maidan Worli,0.97 KM,3.9,12 Votes,"Shop No 2& 4, B D D Chawl, Worli, Mumbai - 400018, Opposite Jamburi Maidan",https://www.justdial.com/Mumbai/Shree-Shanti-Book-Depot-General-Store-Opposite-Jamburi-Maidan-Worli/022P1235834538L7M5F7_BZDET?xid=TXVtYmFpIEdlbmVyYWwgU3RvcmVzIFdvcmxp
